line_id,invoice_id,charge_type,description,qty,unit_price,amount_pkr
LI0000001,INV000001,Base Rental Fare,City Ride – 0.93 day(s),0.93,17704.301075268817,16465.0
LI0000002,INV000002,Base Rental Fare,Airport Transfer – 0.33 day(s),0.33,37736.36363636363,12453.0
LI0000003,INV000002,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000004,INV000002,Surcharge,Night Surcharge,1.0,1245.0,1245.0
LI0000005,INV000003,Base Rental Fare,Airport Transfer – 0.36 day(s),0.36,32552.777777777777,11719.0
LI0000006,INV000003,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000007,INV000004,Base Rental Fare,City Ride – 0.66 day(s),0.66,38790.90909090909,25602.0
LI0000008,INV000005,Base Rental Fare,Airport Transfer – 0.49 day(s),0.49,21453.061224489797,10512.0
LI0000009,INV000005,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000010,INV000005,Surcharge,Night Surcharge,1.0,1051.0,1051.0
LI0000011,INV000005,Surcharge,Outstation Surcharge,1.0,1000.0,1000.0
LI0000012,INV000005,Surcharge,Toll Charges,1.0,5000.0,5000.0
LI0000013,INV000006,Base Rental Fare,City Ride – 0.35 day(s),0.35,35925.71428571429,12574.0
LI0000014,INV000007,Base Rental Fare,Corporate – 2.84 day(s),2.84,14228.521126760565,40409.0
LI0000015,INV000007,Surcharge,Security Deposit,1.0,2500.0,2500.0
LI0000016,INV000008,Base Rental Fare,Intercity – 2.31 day(s),2.31,66221.21212121211,152971.0
LI0000017,INV000008,Surcharge,Fuel Surcharge,1.0,1500.0,1500.0
LI0000018,INV000009,Base Rental Fare,Airport Transfer – 0.3 day(s),0.3,73980.0,22194.0
LI0000019,INV000009,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000020,INV000009,Surcharge,Extra KM,1.0,1500.0,1500.0
LI0000021,INV000010,Base Rental Fare,City Ride – 0.93 day(s),0.93,16733.333333333332,15562.0
LI0000022,INV000010,Surcharge,Waiting Charges,1.0,1500.0,1500.0
LI0000023,INV000011,Base Rental Fare,Wedding – 1.53 day(s),1.53,19700.0,30141.0
LI0000024,INV000011,Surcharge,Extra KM,1.0,4000.0,4000.0
LI0000025,INV000012,Base Rental Fare,Airport Transfer – 0.38 day(s),0.38,28486.842105263157,10825.0
LI0000026,INV000012,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000027,INV000012,Discount,Promotional / Loyalty Discount,1.0,-1662.0,-1662.0
LI0000028,INV000013,Base Rental Fare,City Ride – 0.83 day(s),0.83,4473.493975903614,3713.0
LI0000029,INV000014,Base Rental Fare,Event – 1.7 day(s),1.7,13694.705882352942,23281.0
LI0000030,INV000014,Surcharge,Night Surcharge,1.0,2328.0,2328.0
LI0000031,INV000015,Base Rental Fare,City Ride – 0.47 day(s),0.47,4174.468085106383,1962.0
LI0000032,INV000015,Surcharge,Peak Season Premium,1.0,2000.0,2000.0
LI0000033,INV000016,Base Rental Fare,City Ride – 0.92 day(s),0.92,14015.217391304348,12894.0
LI0000034,INV000016,Surcharge,Fuel Surcharge,1.0,2500.0,2500.0
LI0000035,INV000017,Base Rental Fare,Airport Transfer – 0.36 day(s),0.36,11400.0,4104.0
LI0000036,INV000017,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000037,INV000017,Surcharge,Night Surcharge,1.0,410.0,410.0
LI0000038,INV000017,Surcharge,Extra KM,1.0,2000.0,2000.0
LI0000039,INV000018,Base Rental Fare,Tourism / Northern Areas – 7.06 day(s),7.06,24656.232294617566,174073.0
LI0000040,INV000018,Surcharge,Extra Hours,1.0,2000.0,2000.0
LI0000041,INV000019,Base Rental Fare,City Ride – 0.32 day(s),0.32,13656.25,4370.0
LI0000042,INV000020,Base Rental Fare,Airport Transfer – 0.46 day(s),0.46,5806.521739130435,2671.0
LI0000043,INV000020,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000044,INV000021,Base Rental Fare,Intercity – 2.57 day(s),2.57,16567.70428015564,42579.0
LI0000045,INV000021,Surcharge,Waiting Charges,1.0,3000.0,3000.0
LI0000046,INV000022,Base Rental Fare,Wedding – 2.79 day(s),2.79,8325.089605734767,23227.0
LI0000047,INV000022,Surcharge,Night Surcharge,1.0,2323.0,2323.0
LI0000048,INV000023,Base Rental Fare,Monthly Contract – 31.99 day(s),31.99,2426.91466083151,77637.0
LI0000049,INV000023,Surcharge,Night Surcharge,1.0,7764.0,7764.0
LI0000050,INV000024,Base Rental Fare,Airport Transfer – 0.11 day(s),0.11,8381.818181818182,922.0
LI0000051,INV000024,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000052,INV000025,Base Rental Fare,Airport Transfer – 0.3 day(s),0.3,22353.333333333336,6706.0
LI0000053,INV000025,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000054,INV000026,Base Rental Fare,Airport Transfer – 0.29 day(s),0.29,172462.06896551725,50014.0
LI0000055,INV000026,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000056,INV000026,Discount,Promotional / Loyalty Discount,1.0,-6149.0,-6149.0
LI0000057,INV000027,Base Rental Fare,Intercity – 2.12 day(s),2.12,19226.886792452828,40761.0
LI0000058,INV000028,Base Rental Fare,Wedding – 1.96 day(s),1.96,6061.224489795918,11880.0
LI0000059,INV000028,Surcharge,Peak Season Premium,1.0,3000.0,3000.0
LI0000060,INV000028,Discount,Promotional / Loyalty Discount,1.0,-810.0,-810.0
LI0000061,INV000029,Base Rental Fare,City Ride – 0.55 day(s),0.55,13272.727272727272,7300.0
LI0000062,INV000030,Base Rental Fare,Airport Transfer – 0.22 day(s),0.22,56800.0,12496.0
LI0000063,INV000030,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000064,INV000031,Base Rental Fare,City Ride – 0.58 day(s),0.58,6970.689655172414,4043.0
LI0000065,INV000031,Surcharge,Fuel Surcharge,1.0,3000.0,3000.0
LI0000066,INV000031,Surcharge,Fuel Surcharge,1.0,1500.0,1500.0
LI0000067,INV000032,Base Rental Fare,Intercity – 1.54 day(s),1.54,7677.922077922078,11824.0
LI0000068,INV000032,Surcharge,Night Surcharge,1.0,1182.0,1182.0
LI0000069,INV000033,Base Rental Fare,Airport Transfer – 0.1 day(s),0.1,29800.0,2980.0
LI0000070,INV000033,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000071,INV000033,Surcharge,Outstation Surcharge,1.0,1000.0,1000.0
LI0000072,INV000034,Base Rental Fare,Intercity – 1.65 day(s),1.65,20735.151515151516,34213.0
LI0000073,INV000034,Surcharge,Night Surcharge,1.0,3000.0,3000.0
LI0000074,INV000035,Base Rental Fare,Intercity – 1.72 day(s),1.72,21650.581395348836,37239.0
LI0000075,INV000036,Base Rental Fare,City Ride – 0.36 day(s),0.36,189552.77777777778,68239.0
LI0000076,INV000036,Surcharge,Outstation Surcharge,1.0,5000.0,5000.0
LI0000077,INV000037,Base Rental Fare,Intercity – 2.19 day(s),2.19,18560.27397260274,40647.0
LI0000078,INV000037,Surcharge,Night Surcharge,1.0,3000.0,3000.0
LI0000079,INV000038,Base Rental Fare,Airport Transfer – 0.33 day(s),0.33,163190.9090909091,53853.0
LI0000080,INV000038,Surcharge,Airport Pickup/Drop,1.0,3500.0,3500.0
LI0000081,INV000038,Surcharge,Toll Charges,1.0,500.0,500.0
LI0000082,INV000039,Base Rental Fare,Event – 1.93 day(s),1.93,21083.937823834196,40692.0
LI0000083,INV000039,Surcharge,Peak Season Premium,1.0,1500.0,1500.0
LI0000084,INV000039,Surcharge,Toll Charges,1.0,3000.0,3000.0
LI0000085,INV000040,Base Rental Fare,Tourism / Northern Areas – 8.86 day(s),8.86,16087.810383747179,142538.0
LI0000086,INV000041,Base Rental Fare,Airport Transfer – 0.38 day(s),0.38,53121.05263157895,20186.0
LI0000087,INV000041,Surcharge,Airport Pickup/Drop,1.0,4500.0,4500.0
LI0000088,INV000042,Base Rental Fare,Intercity – 2.58 day(s),2.58,11341.860465116279,29262.0
LI0000089,INV000042,Surcharge,Airport Pickup/Drop,1.0,4000.0,4000.0
LI0000090,INV000042,Surcharge,Extra Hours,1.0,1500.0,1500.0
LI0000091,INV000043,Base Rental Fare,Corporate – 4.46 day(s),4.46,26700.22421524664,119083.0
LI0000092,INV000043,Surcharge,Extra Hours,1.0,2000.0,2000.0
LI0000093,INV000043,Discount,Promotional / Loyalty Discount,1.0,-18951.0,-18951.0
LI0000094,INV000044,Base Rental Fare,City Ride – 0.92 day(s),0.92,7688.043478260869,7073.0
LI0000095,INV000044,Surcharge,Night Surcharge,1.0,3000.0,3000.0
LI0000096,INV000045,Base Rental Fare,City Ride – 0.5 day(s),0.5,2224.0,1112.0
LI0000097,INV000046,Base Rental Fare,Airport Transfer – 0.43 day(s),0.43,171846.511627907,73894.0
