fuel_id,trip_id,vehicle_id,fleet_id,driver_id,fill_date,fuel_type,litres_filled,price_per_litre_pkr,fuel_cost_pkr,km_driven,fuel_efficiency_kmpl,odometer_at_fill,fill_station,paid_by
FU0000001,TR000001,VH00102,FL001,DR0008,2022-11-09,Petrol,6.05,224.8,1360.04,67.4,11.14,56975,Total Parco F-8,Petty Cash
FU0000002,TR000002,VH00105,FL003,,2026-05-25,Petrol,48.09,243.8,11724.34,498.6,10.37,54923,Attock Petroleum Rawalpindi,Petty Cash
FU0000003,TR000003,VH00016,FL001,,2026-01-12,Petrol,45.28,243.8,11039.26,543.0,11.99,44151,HASCOL Lahore,Petty Cash
FU0000004,TR000004,VH00010,FL002,,2023-11-07,Petrol,94.25,290.45,27374.91,1260.8,13.38,84732,Attock Petroleum Rawalpindi,Fleet Card
FU0000005,TR000006,VH00004,FL002,DR0033,2022-09-02,Petrol,4.15,179.86,746.42,39.7,9.57,175707,Shell Gulshan,Driver Cash
FU0000006,TR000007,VH00015,FL002,DR0027,2024-04-22,Petrol,3.59,279.75,1004.3,37.7,10.5,180322,Total Parco F-8,Fleet Card
FU0000007,TR000008,VH00051,FL001,DR0007,2024-08-14,Petrol,148.08,268.42,39747.63,1397.9,9.44,97282,HASCOL Lahore,Petty Cash
FU0000008,TR000009,VH00086,FL004,DR0034,2026-03-11,Petrol,94.89,243.8,23134.18,1172.3,12.35,42328,Total Parco DHA,Fleet Card
FU0000009,TR000010,VH00080,FL002,DR0019,2023-08-22,Diesel,3.11,283.0,880.13,27.6,8.87,144607,Shell G-11,Driver Cash
FU0000010,TR000011,VH00112,FL001,DR0055,2024-05-24,Petrol,79.59,279.75,22265.3,960.3,12.07,106276,Total Parco DHA,Fleet Card
FU0000011,TR000012,VH00089,FL001,DR0051,2022-10-04,Diesel,11.24,235.3,2644.77,122.3,10.88,178087,PSO Karachi,Fleet Card
FU0000012,TR000014,VH00083,FL003,DR0054,2024-10-26,Petrol,6.16,268.42,1653.47,68.9,11.19,152060,Total Parco F-8,Fleet Card
FU0000013,TR000015,VH00036,FL001,,2022-03-17,Petrol,0.92,144.82,133.23,18.7,20.33,17915,PSO Karachi,Fleet Card
FU0000014,TR000016,VH00091,FL001,DR0003,2025-04-09,Petrol,29.55,255.63,7553.87,356.6,12.07,173632,Shell G-11,Driver Cash
FU0000015,TR000017,VH00104,FL003,,2023-11-04,Petrol,6.93,290.45,2012.82,70.4,10.16,39076,PSO Islamabad,Fleet Card
FU0000016,TR000019,VH00042,FL002,,2024-08-02,Petrol,5.26,268.42,1411.89,35.9,6.83,165615,PSO Islamabad,Driver Cash
FU0000017,TR000022,VH00075,FL003,DR0047,2024-05-26,Petrol,113.3,279.75,31695.67,1366.2,12.06,31884,Shell G-11,Fleet Card
FU0000018,TR000023,VH00094,FL002,DR0016,2023-06-13,Petrol,3.04,249.8,759.39,36.0,11.84,80685,PSO Islamabad,Petty Cash
FU0000019,TR000024,VH00036,FL001,DR0058,2022-04-26,Petrol,2.86,144.82,414.19,53.6,18.74,18970,Shell G-11,Petty Cash
FU0000020,TR000026,VH00003,FL001,DR0011,2024-05-04,Petrol,8.01,279.75,2240.8,74.8,9.34,95158,Total Parco DHA,Driver Cash
FU0000021,TR000027,VH00025,FL001,DR0017,2023-12-15,Diesel,115.2,283.0,32601.6,1290.9,11.21,27492,PSO Islamabad,Petty Cash
FU0000022,TR000028,VH00075,FL003,DR0003,2022-07-01,Petrol,129.29,179.86,23254.1,1440.2,11.14,31951,Shell G-11,Driver Cash
FU0000023,TR000029,VH00100,FL002,DR0042,2025-08-05,Petrol,3.79,249.5,945.61,51.7,13.64,154548,PSO Islamabad,Driver Cash
FU0000024,TR000030,VH00083,FL003,DR0013,2026-05-17,Petrol,1.27,243.8,309.63,14.0,11.02,152505,PSO Karachi,Fleet Card
