invoice_id,trip_id,customer_id,fleet_id,invoice_date,due_date,base_fare_pkr,total_surcharge_pkr,discount_pkr,driver_allowance_pkr,tax_pkr,total_amount_pkr,paid_amount_pkr,outstanding_pkr,payment_method,payment_status,advance_paid_pct
INV000001,TR000001,CU01068,FL001,2022-11-10,2022-11-17,16465.0,0.0,0.0,2314.0,0.0,18779.0,18779.0,0.0,Bank Transfer,Paid,100
INV000002,TR000002,CU00406,FL003,2026-05-26,2026-06-02,12453.0,5245.0,0.0,0.0,0.0,17698.0,17698.0,0.0,Card (POS),Paid,20
INV000003,TR000003,CU01442,FL001,2026-01-12,2026-01-19,11719.0,4000.0,0.0,0.0,0.0,15719.0,15719.0,0.0,Cash,Paid,50
INV000004,TR000004,CU01789,FL002,2023-11-08,2023-11-15,25602.0,0.0,0.0,0.0,0.0,25602.0,17592.0,8010.0,JazzCash,Partial,20
INV000005,TR000005,CU00685,FL001,2022-12-02,2022-12-09,10512.0,11051.0,0.0,567.0,0.0,22130.0,22130.0,0.0,JazzCash,Paid,0
INV000006,TR000006,CU00094,FL002,2022-09-02,2022-09-09,12574.0,0.0,0.0,1875.0,0.0,14449.0,14449.0,0.0,Cash,Paid,100
INV000007,TR000007,CU00136,FL002,2024-04-25,2024-05-02,40409.0,2500.0,0.0,664.0,0.0,43573.0,43573.0,0.0,Cash,Paid,50
INV000008,TR000008,CU01456,FL001,2024-08-17,2024-08-24,152971.0,1500.0,0.0,1886.0,0.0,156357.0,156357.0,0.0,Cash,Paid,50
INV000009,TR000009,CU01697,FL004,2026-03-11,2026-03-18,22194.0,5500.0,0.0,2905.0,0.0,30599.0,30599.0,0.0,JazzCash,Paid,0
INV000010,TR000010,CU01196,FL002,2023-08-23,2023-08-30,15562.0,1500.0,0.0,2858.0,0.0,19920.0,19920.0,0.0,Cash,Paid,100
INV000011,TR000011,CU01924,FL001,2024-05-26,2024-06-02,30141.0,4000.0,0.0,1640.0,0.0,35781.0,35781.0,0.0,EasyPaisa,Paid,100
INV000012,TR000012,CU00032,FL001,2022-10-05,2022-10-12,10825.0,4000.0,1662.0,1277.0,0.0,14440.0,12762.0,1678.0,JazzCash,Partial,100
INV000013,TR000013,CU00771,FL001,2022-06-23,2022-06-30,3713.0,0.0,0.0,1707.0,0.0,5420.0,5420.0,0.0,Cash,Paid,100
INV000014,TR000014,CU01025,FL003,2024-10-28,2024-11-04,23281.0,2328.0,0.0,902.0,0.0,26511.0,26511.0,0.0,Bank Transfer,Paid,20
INV000015,TR000015,CU01412,FL001,2022-03-18,2022-03-25,1962.0,2000.0,0.0,0.0,0.0,3962.0,3962.0,0.0,Cash,Paid,20
INV000016,TR000016,CU01992,FL001,2025-04-10,2025-04-17,12894.0,2500.0,0.0,1025.0,0.0,16419.0,16419.0,0.0,EasyPaisa,Paid,100
INV000017,TR000017,CU01340,FL003,2023-11-04,2023-11-11,4104.0,5910.0,0.0,0.0,0.0,10014.0,10014.0,0.0,Cash,Paid,50
INV000018,TR000019,CU00375,FL002,2024-08-09,2024-08-16,174073.0,2000.0,0.0,0.0,0.0,176073.0,176073.0,0.0,EasyPaisa,Paid,50
INV000019,TR000020,CU01467,FL002,2024-12-21,2024-12-28,4370.0,0.0,0.0,2553.0,0.0,6923.0,6923.0,0.0,JazzCash,Paid,20
INV000020,TR000021,CU00503,FL001,2025-09-16,2025-09-23,2671.0,3500.0,0.0,1921.0,0.0,8092.0,8092.0,0.0,Bank Transfer,Paid,50
INV000021,TR000022,CU01773,FL003,2024-05-29,2024-06-05,42579.0,3000.0,0.0,2715.0,0.0,48294.0,48294.0,0.0,Cash,Paid,0
INV000022,TR000023,CU00255,FL002,2023-06-16,2023-06-23,23227.0,2323.0,0.0,2123.0,0.0,27673.0,27673.0,0.0,EasyPaisa,Paid,20
INV000023,TR000024,CU00628,FL001,2022-05-28,2022-06-04,77637.0,7764.0,0.0,2607.0,0.0,88008.0,67015.0,20993.0,Bank Transfer,Partial,0
INV000024,TR000025,CU00808,FL002,2023-07-28,2023-08-04,922.0,3500.0,0.0,0.0,0.0,4422.0,4422.0,0.0,Cash,Paid,100
INV000025,TR000026,CU01449,FL001,2024-05-04,2024-05-11,6706.0,4500.0,0.0,2125.0,0.0,13331.0,13331.0,0.0,JazzCash,Paid,100
INV000026,TR000027,CU00652,FL001,2023-12-16,2023-12-23,50014.0,4500.0,6149.0,1642.0,0.0,50007.0,50007.0,0.0,JazzCash,Paid,20
INV000027,TR000028,CU01363,FL003,2022-07-03,2022-07-10,40761.0,0.0,0.0,2603.0,0.0,43364.0,21138.0,22226.0,Cash,Partial,50
INV000028,TR000029,CU01732,FL002,2025-08-07,2025-08-14,11880.0,3000.0,810.0,2108.0,0.0,16178.0,16178.0,0.0,Bank Transfer,Paid,0
INV000029,TR000030,CU00403,FL003,2026-05-18,2026-05-25,7300.0,0.0,0.0,1585.0,0.0,8885.0,8885.0,0.0,JazzCash,Paid,100
INV000030,TR000032,CU00880,FL003,2025-04-07,2025-04-14,12496.0,4000.0,0.0,2224.0,0.0,18720.0,18720.0,0.0,JazzCash,Paid,100
INV000031,TR000033,CU00879,FL003,2024-05-21,2024-05-28,4043.0,4500.0,0.0,1948.0,0.0,10491.0,10491.0,0.0,JazzCash,Paid,100
INV000032,TR000034,CU01207,FL003,2024-12-10,2024-12-17,11824.0,1182.0,0.0,1485.0,0.0,14491.0,14491.0,0.0,Cash,Paid,20
INV000033,TR000035,CU01793,FL003,2024-04-06,2024-04-13,2980.0,5500.0,0.0,615.0,0.0,9095.0,9095.0,0.0,Cash,Paid,100
INV000034,TR000036,CU01234,FL003,2025-12-13,2025-12-20,34213.0,3000.0,0.0,2503.0,0.0,39716.0,24340.0,15376.0,JazzCash,Partial,50
INV000035,TR000038,CU01487,FL001,2025-10-12,2025-10-19,37239.0,0.0,0.0,2272.0,0.0,39511.0,39511.0,0.0,Cash,Paid,100
INV000036,TR000039,CU00636,FL003,2024-01-15,2024-01-22,68239.0,5000.0,0.0,2168.0,0.0,75407.0,75407.0,0.0,Cash,Paid,0
INV000037,TR000041,CU01322,FL001,2026-03-25,2026-04-01,40647.0,3000.0,0.0,849.0,0.0,44496.0,44496.0,0.0,JazzCash,Paid,50
INV000038,TR000042,CU00844,FL001,2024-07-12,2024-07-19,53853.0,4000.0,0.0,1293.0,0.0,59146.0,59146.0,0.0,Cash,Paid,100
INV000039,TR000043,CU00507,FL003,2022-09-24,2022-10-01,40692.0,4500.0,0.0,0.0,0.0,45192.0,45192.0,0.0,JazzCash,Paid,0
INV000040,TR000045,CU00931,FL001,2026-04-06,2026-04-13,142538.0,0.0,0.0,0.0,0.0,142538.0,41421.0,101117.0,EasyPaisa,Partial,100
INV000041,TR000046,CU00871,FL003,2023-10-27,2023-11-03,20186.0,4500.0,0.0,591.0,0.0,25277.0,25277.0,0.0,Bank Transfer,Paid,0
INV000042,TR000047,CU00620,FL001,2026-01-31,2026-02-07,29262.0,5500.0,0.0,740.0,0.0,35502.0,35502.0,0.0,Cash,Paid,100
INV000043,TR000048,CU01450,FL001,2024-06-26,2024-07-03,119083.0,2000.0,18951.0,2104.0,0.0,104236.0,104236.0,0.0,Cash,Paid,0
INV000044,TR000049,CU01235,FL002,2024-03-27,2024-04-03,7073.0,3000.0,0.0,0.0,0.0,10073.0,10073.0,0.0,EasyPaisa,Paid,0
INV000045,TR000050,CU00864,FL001,2024-09-11,2024-09-18,1112.0,0.0,0.0,2265.0,0.0,3377.0,3377.0,0.0,Cash,Paid,50
INV000046,TR000051,CU00857,FL004,2024-03-08,2024-03-15,73894.0,4000.0,0.0,519.0,0.0,78413.0,78413.0,0.0,Card (POS),Paid,20
INV000047,TR000052,CU00434,FL003,2023-12-19,2023-12-26,3987.0,1500.0,0.0,2113.0,0.0,7600.0,7600.0,0.0,Bank Transfer,Paid,50
INV000048,TR000053,CU00584,FL004,2024-05-03,2024-05-10,115812.0,1500.0,0.0,0.0,0.0,117312.0,117312.0,0.0,Cash,Paid,20
INV000049,TR000054,CU00736,FL002,2022-12-28,2023-01-04,35069.0,7507.0,0.0,2473.0,0.0,45049.0,45049.0,0.0,EasyPaisa,Paid,20
INV000050,TR000055,CU00095,FL003,2024-06-03,2024-06-10,13091.0,4500.0,0.0,0.0,0.0,17591.0,17591.0,0.0,Bank Transfer,Paid,20
INV000051,TR000056,CU01351,FL001,2025-06-24,2025-07-01,35925.0,0.0,5579.0,2059.0,0.0,32405.0,32405.0,0.0,JazzCash,Paid,100
INV000052,TR000057,CU00371,FL002,2025-03-23,2025-03-30,72797.0,3000.0,9003.0,961.0,0.0,67755.0,19557.0,48198.0,JazzCash,Partial,20
INV000053,TR000058,CU01377,FL001,2026-06-22,2026-06-29,28869.0,2000.0,4327.0,1576.0,0.0,28118.0,8832.0,19286.0,EasyPaisa,Partial,0
INV000054,TR000059,CU01394,FL001,2026-04-22,2026-04-29,28219.0,2822.0,0.0,2057.0,0.0,33098.0,33098.0,0.0,Cash,Paid,100
INV000055,TR000060,CU01129,FL003,2023-08-22,2023-08-29,10679.0,2068.0,2088.0,2826.0,0.0,13485.0,13485.0,0.0,Cash,Paid,20
INV000056,TR000061,CU00996,FL004,2022-03-07,2022-03-14,18589.0,0.0,0.0,520.0,0.0,19109.0,19109.0,0.0,JazzCash,Paid,50
INV000057,TR000062,CU00527,FL001,2025-12-28,2026-01-04,7222.0,2000.0,0.0,784.0,0.0,10006.0,10006.0,0.0,Cash,Paid,0
INV000058,TR000063,CU01729,FL001,2022-02-24,2022-03-03,13443.0,0.0,1406.0,0.0,0.0,12037.0,6485.0,5552.0,Cash,Partial,20
INV000059,TR000064,CU01783,FL002,2026-06-05,2026-06-12,121203.0,0.0,0.0,847.0,0.0,122050.0,122050.0,0.0,Cash,Paid,50
INV000060,TR000065,CU00227,FL001,2023-07-08,2023-07-15,16193.0,5619.0,0.0,2355.0,0.0,24167.0,18571.0,5596.0,Cash,Partial,50
INV000061,TR000066,CU01069,FL003,2024-09-08,2024-09-15,3076.0,3500.0,0.0,1299.0,0.0,7875.0,7875.0,0.0,JazzCash,Paid,20
INV000062,TR000067,CU01488,FL002,2023-06-26,2023-07-03,13024.0,3500.0,853.0,601.0,0.0,16272.0,16272.0,0.0,Card (POS),Paid,0
INV000063,TR000068,CU00053,FL001,2025-11-07,2025-11-14,20502.0,4500.0,0.0,1403.0,0.0,26405.0,26405.0,0.0,Bank Transfer,Paid,20
INV000064,TR000069,CU00918,FL003,2026-05-14,2026-05-21,10615.0,2562.0,0.0,2212.0,0.0,15389.0,15389.0,0.0,JazzCash,Paid,50
INV000065,TR000070,CU01197,FL001,2024-02-28,2024-03-06,20500.0,6050.0,0.0,741.0,0.0,27291.0,15774.0,11517.0,JazzCash,Partial,0
INV000066,TR000071,CU01435,FL004,2026-04-06,2026-04-13,5840.0,1584.0,0.0,575.0,0.0,7999.0,7999.0,0.0,Card (POS),Paid,0
INV000067,TR000072,CU01555,FL003,2025-05-11,2025-05-18,4822.0,0.0,0.0,694.0,0.0,5516.0,5516.0,0.0,Bank Transfer,Paid,100
INV000068,TR000073,CU00842,FL001,2024-08-06,2024-08-13,135556.0,2500.0,0.0,2228.0,0.0,140284.0,140284.0,0.0,Cash,Paid,100
INV000069,TR000074,CU00681,FL001,2024-04-06,2024-04-13,16465.0,2000.0,0.0,1886.0,0.0,20351.0,20351.0,0.0,Card (POS),Paid,20
INV000070,TR000075,CU01755,FL001,2022-04-03,2022-04-10,3956.0,0.0,0.0,1087.0,0.0,5043.0,5043.0,0.0,Bank Transfer,Paid,100
INV000071,TR000076,CU01302,FL003,2025-12-20,2025-12-27,30659.0,0.0,0.0,2341.0,0.0,33000.0,33000.0,0.0,EasyPaisa,Paid,100
INV000072,TR000077,CU00210,FL001,2022-07-14,2022-07-21,7715.0,1000.0,0.0,978.0,0.0,9693.0,7947.0,1746.0,EasyPaisa,Partial,20
INV000073,TR000078,CU00124,FL001,2026-05-19,2026-05-26,33787.0,0.0,0.0,0.0,0.0,33787.0,33787.0,0.0,Bank Transfer,Paid,0
INV000074,TR000079,CU00560,FL002,2024-09-19,2024-09-26,43641.0,0.0,5342.0,2738.0,0.0,41037.0,41037.0,0.0,Cash,Paid,50
INV000075,TR000080,CU00961,FL001,2025-05-21,2025-05-28,99301.0,0.0,0.0,2013.0,0.0,101314.0,40320.0,60994.0,EasyPaisa,Partial,20
INV000076,TR000081,CU01386,FL002,2026-06-14,2026-06-21,9856.0,3500.0,0.0,2493.0,0.0,15849.0,15849.0,0.0,EasyPaisa,Paid,100
INV000077,TR000082,CU01887,FL003,2025-09-25,2025-10-02,459879.0,4000.0,0.0,1647.0,0.0,465526.0,465526.0,0.0,Cash,Paid,0
INV000078,TR000083,CU00429,FL002,2026-06-06,2026-06-13,314768.0,500.0,0.0,0.0,0.0,315268.0,315268.0,0.0,JazzCash,Paid,100
INV000079,TR000084,CU00580,FL001,2024-07-05,2024-07-12,58633.0,2500.0,0.0,2593.0,0.0,63726.0,63726.0,0.0,JazzCash,Paid,20
INV000080,TR000085,CU00387,FL001,2026-04-07,2026-04-14,16297.0,0.0,0.0,0.0,0.0,16297.0,16297.0,0.0,JazzCash,Paid,50
INV000081,TR000086,CU01332,FL003,2023-12-28,2024-01-04,7086.0,0.0,0.0,1575.0,0.0,8661.0,8661.0,0.0,JazzCash,Paid,100
INV000082,TR000087,CU01176,FL001,2024-05-09,2024-05-16,8032.0,0.0,0.0,2329.0,0.0,10361.0,10361.0,0.0,Bank Transfer,Paid,20
INV000083,TR000088,CU00253,FL004,2022-05-14,2022-05-21,75537.0,7500.0,0.0,2831.0,0.0,85868.0,85868.0,0.0,Card (POS),Paid,0
INV000084,TR000089,CU00895,FL001,2023-04-21,2023-04-28,123031.0,0.0,0.0,1362.0,0.0,124393.0,124393.0,0.0,Cash,Paid,100
INV000085,TR000090,CU00296,FL003,2026-03-13,2026-03-20,9933.0,5000.0,0.0,1426.0,0.0,16359.0,16359.0,0.0,Cash,Paid,100
INV000086,TR000091,CU00868,FL001,2022-05-05,2022-05-12,7560.0,5256.0,0.0,2769.0,0.0,15585.0,15585.0,0.0,Bank Transfer,Paid,100
INV000087,TR000092,CU00201,FL003,2022-11-28,2022-12-05,3021.0,4500.0,0.0,2213.0,0.0,9734.0,9734.0,0.0,Cash,Paid,0
INV000088,TR000093,CU01004,FL004,2023-05-25,2023-06-01,35372.0,0.0,8212.0,2200.0,0.0,29360.0,29360.0,0.0,Cash,Paid,20
INV000089,TR000094,CU01907,FL001,2022-11-08,2022-11-15,1283.0,3500.0,192.0,0.0,0.0,4591.0,4591.0,0.0,JazzCash,Paid,0
INV000090,TR000095,CU01544,FL001,2024-09-25,2024-10-02,131073.0,0.0,0.0,2349.0,0.0,133422.0,133422.0,0.0,Bank Transfer,Paid,100
INV000091,TR000096,CU01335,FL001,2023-07-06,2023-07-13,8787.0,0.0,0.0,2470.0,0.0,11257.0,11257.0,0.0,JazzCash,Paid,20
INV000092,TR000097,CU01542,FL001,2024-09-11,2024-09-18,47172.0,0.0,0.0,1850.0,0.0,49022.0,49022.0,0.0,Bank Transfer,Paid,100
INV000093,TR000098,CU01332,FL001,2025-08-16,2025-08-23,22111.0,2000.0,0.0,1200.0,0.0,25311.0,25311.0,0.0,JazzCash,Paid,100
INV000094,TR000099,CU01027,FL001,2022-06-25,2022-07-02,26532.0,0.0,0.0,2645.0,0.0,29177.0,29177.0,0.0,Cash,Paid,20
INV000095,TR000100,CU01538,FL001,2025-10-02,2025-10-09,23217.0,0.0,0.0,2141.0,0.0,25358.0,25358.0,0.0,Cash,Paid,50
INV000096,TR000101,CU00316,FL002,2024-07-25,2024-08-01,117538.0,4000.0,0.0,1074.0,0.0,122612.0,122612.0,0.0,EasyPaisa,Paid,20
INV000097,TR000102,CU00990,FL003,2022-03-07,2022-03-14,11542.0,6500.0,0.0,2148.0,0.0,20190.0,20190.0,0.0,Cash,Paid,50
INV000098,TR000104,CU00627,FL001,2024-06-11,2024-06-18,16116.0,1612.0,0.0,1667.0,0.0,19395.0,13587.0,5808.0,EasyPaisa,Partial,20
INV000099,TR000105,CU00633,FL004,2022-12-15,2022-12-22,144627.0,0.0,0.0,2383.0,0.0,147010.0,147010.0,0.0,JazzCash,Paid,50
INV000100,TR000106,CU01232,FL001,2023-08-13,2023-08-20,5327.0,0.0,0.0,1944.0,0.0,7271.0,7271.0,0.0,EasyPaisa,Paid,0
INV000101,TR000107,CU01921,FL003,2025-09-14,2025-09-21,15205.0,0.0,1048.0,2872.0,0.0,17029.0,17029.0,0.0,Cash,Paid,100
INV000102,TR000108,CU00497,FL001,2026-06-09,2026-06-16,32864.0,6500.0,0.0,1272.0,0.0,40636.0,40636.0,0.0,Cash,Paid,50
INV000103,TR000109,CU00910,FL002,2026-05-23,2026-05-30,39094.0,3500.0,6285.0,0.0,0.0,36309.0,36309.0,0.0,EasyPaisa,Paid,50
INV000104,TR000110,CU00775,FL002,2025-05-21,2025-05-28,66578.0,0.0,0.0,1512.0,0.0,68090.0,68090.0,0.0,EasyPaisa,Paid,0
