expense_id,fleet_id,expense_month,category,amount_pkr,description,approved_by
EX0000001,FL001,2022-01-01,Staff Salaries,617767.0,Staff Salaries for January 2022,Fleet Manager
EX0000002,FL001,2022-01-01,Driver Salaries,553679.0,Driver Salaries for January 2022,Fleet Manager
EX0000003,FL001,2022-01-01,Office Rent,106178.0,Office Rent for January 2022,Fleet Manager
EX0000004,FL001,2022-01-01,Utilities,23616.0,Utilities for January 2022,Fleet Manager
EX0000005,FL001,2022-01-01,Marketing,45654.0,Marketing for January 2022,Fleet Manager
EX0000006,FL001,2022-01-01,Insurance Premium,66569.0,Insurance Premium for January 2022,Fleet Manager
EX0000007,FL001,2022-01-01,Depreciation,80573.0,Depreciation for January 2022,Fleet Manager
EX0000008,FL001,2022-01-01,Miscellaneous,40495.0,Miscellaneous for January 2022,Fleet Manager
EX0000009,FL001,2022-01-01,Communication,27038.0,Communication for January 2022,Fleet Manager
EX0000010,FL001,2022-01-01,Parking / Garage,62797.0,Parking / Garage for January 2022,Fleet Manager
EX0000011,FL002,2022-01-01,Staff Salaries,510865.0,Staff Salaries for January 2022,Fleet Manager
EX0000012,FL002,2022-01-01,Driver Salaries,826443.0,Driver Salaries for January 2022,Fleet Manager
EX0000013,FL002,2022-01-01,Office Rent,88032.0,Office Rent for January 2022,Fleet Manager
EX0000014,FL002,2022-01-01,Utilities,25184.0,Utilities for January 2022,Fleet Manager
EX0000015,FL002,2022-01-01,Marketing,58628.0,Marketing for January 2022,Fleet Manager
EX0000016,FL002,2022-01-01,Insurance Premium,89512.0,Insurance Premium for January 2022,Fleet Manager
EX0000017,FL002,2022-01-01,Depreciation,122941.0,Depreciation for January 2022,Fleet Manager
EX0000018,FL002,2022-01-01,Miscellaneous,54367.0,Miscellaneous for January 2022,Fleet Manager
EX0000019,FL002,2022-01-01,Communication,29444.0,Communication for January 2022,Fleet Manager
EX0000020,FL002,2022-01-01,Parking / Garage,74548.0,Parking / Garage for January 2022,Fleet Manager
EX0000021,FL003,2022-01-01,Staff Salaries,614648.0,Staff Salaries for January 2022,Fleet Manager
EX0000022,FL003,2022-01-01,Driver Salaries,881971.0,Driver Salaries for January 2022,Fleet Manager
EX0000023,FL003,2022-01-01,Office Rent,123381.0,Office Rent for January 2022,Fleet Manager
EX0000024,FL003,2022-01-01,Utilities,30715.0,Utilities for January 2022,Fleet Manager
EX0000025,FL003,2022-01-01,Marketing,58990.0,Marketing for January 2022,Fleet Manager
EX0000026,FL003,2022-01-01,Insurance Premium,86632.0,Insurance Premium for January 2022,Fleet Manager
EX0000027,FL003,2022-01-01,Depreciation,115461.0,Depreciation for January 2022,Fleet Manager
EX0000028,FL003,2022-01-01,Miscellaneous,65503.0,Miscellaneous for January 2022,Fleet Manager
EX0000029,FL003,2022-01-01,Communication,34358.0,Communication for January 2022,Fleet Manager
EX0000030,FL003,2022-01-01,Parking / Garage,98661.0,Parking / Garage for January 2022,Fleet Manager
EX0000031,FL004,2022-01-01,Staff Salaries,440673.0,Staff Salaries for January 2022,Fleet Manager
EX0000032,FL004,2022-01-01,Driver Salaries,938862.0,Driver Salaries for January 2022,Fleet Manager
EX0000033,FL004,2022-01-01,Office Rent,101958.0,Office Rent for January 2022,Fleet Manager
EX0000034,FL004,2022-01-01,Utilities,32483.0,Utilities for January 2022,Fleet Manager
EX0000035,FL004,2022-01-01,Marketing,58278.0,Marketing for January 2022,Fleet Manager
EX0000036,FL004,2022-01-01,Insurance Premium,73280.0,Insurance Premium for January 2022,Fleet Manager
EX0000037,FL004,2022-01-01,Depreciation,110097.0,Depreciation for January 2022,Fleet Manager
