rate_id,fleet_id,vehicle_type_id,booking_type,daily_rate_pkr,hourly_rate_pkr,km_rate_pkr,outstation_mult,night_surcharge_pct,airport_surcharge_pkr,security_deposit_pkr,min_hours,cancellation_fee_pct,fuel_included,driver_included,effective_from,effective_to
RC000001,FL001,VT001,City Ride,3764.0,400,12,1.2,10,4000,10000,4,15,False,False,2022-01-01,2026-12-31
RC000002,FL001,VT001,Airport Transfer,4594.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000003,FL001,VT001,Intercity,4779.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000004,FL001,VT001,Wedding,5271.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000005,FL001,VT001,Corporate,4097.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000006,FL001,VT001,Tourism / Northern Areas,5008.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000007,FL001,VT001,Monthly Contract,3156.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000008,FL001,VT001,Event,4513.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31
RC000009,FL001,VT002,City Ride,5075.0,500,14,1.2,10,4000,15000,4,15,False,False,2022-01-01,2026-12-31
RC000010,FL001,VT002,Airport Transfer,5039.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000011,FL001,VT002,Intercity,6444.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000012,FL001,VT002,Wedding,6549.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000013,FL001,VT002,Corporate,5768.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000014,FL001,VT002,Tourism / Northern Areas,6182.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
RC000015,FL001,VT002,Monthly Contract,4106.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31
