telem_id,trip_id,driver_id,vehicle_id,trip_date,distance_km,duration_hours,avg_speed_kmh,max_speed_kmh,harsh_brake_events,harsh_accel_events,idle_time_minutes,speeding_km,safety_score,accident_occurred,customer_rating,complaint_filed
TL000001,TR000001,DR0008,VH00102,2022-11-09,67.4,22.32,3.3,119,1,1,277,8.3,81.2,False,3.6,False
TL000006,TR000006,DR0033,VH00004,2022-09-02,39.7,8.4,5.2,152,0,0,62,3.4,95.9,False,3.7,False
TL000007,TR000007,DR0027,VH00015,2024-04-22,37.7,68.16,0.6,175,0,0,341,2.2,82.3,False,4.8,False
TL000008,TR000008,DR0007,VH00051,2024-08-14,1397.9,55.44,27.5,136,121,99,1153,545.8,0.0,False,3.4,False
TL000010,TR000010,DR0019,VH00080,2023-08-22,27.6,22.32,1.3,86,0,0,358,4.4,80.8,False,4.7,False
TL000011,TR000011,DR0055,VH00112,2024-05-24,960.3,36.72,28.5,101,19,19,583,156.7,0.0,False,5.0,False
TL000012,TR000012,DR0051,VH00089,2022-10-04,122.3,9.12,14.6,135,2,2,74,14.2,87.0,False,4.9,False
TL000016,TR000016,DR0003,VH00091,2025-04-09,356.6,22.08,17.6,123,18,23,303,88.9,8.2,False,4.2,False
TL000023,TR000023,DR0016,VH00094,2023-06-13,36.0,66.96,0.6,161,0,0,435,1.9,77.7,False,4.2,False
TL000024,TR000024,DR0058,VH00036,2022-04-26,53.6,767.76,0.1,143,1,0,10158,9.9,0.0,False,4.9,False
TL000027,TR000027,DR0017,VH00025,2023-12-15,1290.9,6.96,202.3,178,20,24,110,214.5,0.0,False,4.5,False
TL000032,TR000032,DR0037,VH00018,2025-04-06,323.1,5.28,66.8,164,7,8,65,37.3,67.1,False,4.5,False
TL000033,TR000033,DR0012,VH00058,2024-05-20,26.5,13.92,2.1,100,1,0,227,3.8,86.0,False,4.6,False
TL000034,TR000034,DR0046,VH00040,2024-12-08,386.7,36.96,11.4,86,34,28,1088,98.9,0.0,False,3.0,False
TL000038,TR000038,DR0009,VH00084,2025-10-10,498.6,41.28,13.2,153,1,2,78,18.2,87.1,False,3.1,False
