leg_id,trip_id,leg_sequence,city,lat,lon,km_so_far,stop_type,stop_duration_min
LG0000001,TR000002,1,Waypoint-1,33.354793,72.31151,124.7,Toll,40
LG0000002,TR000002,2,Waypoint-2,32.80632,72.933117,249.3,Rest Stop,15
LG0000003,TR000002,3,Waypoint-3,32.190424,73.703784,374.0,Toll,11
LG0000004,TR000002,4,Waypoint-4,31.481621,74.390812,498.6,Rest Stop,7
LG0000005,TR000003,1,Waypoint-1,30.813279,71.832726,108.6,Fuel Stop,26
LG0000006,TR000003,2,Waypoint-2,31.486937,72.130272,217.2,Waypoint,20
LG0000007,TR000003,3,Waypoint-3,32.235748,72.325905,325.8,Rest Stop,14
LG0000008,TR000003,4,Waypoint-4,32.98141,72.745448,434.4,Waypoint,37
LG0000009,TR000003,5,Waypoint-5,33.711168,73.060753,543.0,Fuel Stop,17
LG0000010,TR000004,1,Waypoint-1,29.757937,72.608378,315.2,Fuel Stop,9
LG0000011,TR000004,2,Waypoint-2,28.104038,70.724164,630.4,Toll,42
LG0000012,TR000004,3,Waypoint-3,26.494789,68.765976,945.6,Waypoint,18
LG0000013,TR000004,4,Waypoint-4,24.899793,67.039717,1260.8,Rest Stop,20
LG0000014,TR000008,1,Waypoint-1,27.2866,69.385908,466.0,Rest Stop,44
LG0000015,TR000008,2,Waypoint-2,29.676937,71.815896,931.9,Rest Stop,7
LG0000016,TR000008,3,Waypoint-3,32.177836,74.250529,1397.9,Fuel Stop,22
LG0000017,TR000009,1,Waypoint-1,28.157356,70.72692,586.1,Toll,37
LG0000018,TR000009,2,Waypoint-2,31.504378,74.387224,1172.3,Fuel Stop,39
LG0000019,TR000011,1,Waypoint-1,27.48272,69.270569,480.1,Fuel Stop,22
LG0000020,TR000011,2,Waypoint-2,24.943917,67.012498,960.3,Toll,36
LG0000021,TR000012,1,Waypoint-1,33.898406,73.177242,61.1,Waypoint,34
LG0000022,TR000012,2,Waypoint-2,33.553154,73.054374,122.3,Rest Stop,25
LG0000023,TR000016,1,Waypoint-1,32.637081,73.302667,178.3,Rest Stop,30
LG0000024,TR000016,2,Waypoint-2,31.430487,73.10773,356.6,Fuel Stop,28
LG0000025,TR000022,1,Waypoint-1,30.73127,71.023303,455.4,Waypoint,8
LG0000026,TR000022,2,Waypoint-2,27.663468,68.947779,910.8,Rest Stop,14
LG0000027,TR000022,3,Waypoint-3,24.905923,66.932168,1366.2,Waypoint,6
LG0000028,TR000027,1,Waypoint-1,27.08108,69.483519,430.3,Toll,38
LG0000029,TR000027,2,Waypoint-2,29.314042,71.829198,860.6,Waypoint,26
LG0000030,TR000027,3,Waypoint-3,31.587943,74.370915,1290.9,Toll,27
LG0000031,TR000028,1,Waypoint-1,26.707824,68.010463,288.0,Toll,10
LG0000032,TR000028,2,Waypoint-2,28.515155,68.807617,576.1,Fuel Stop,15
LG0000033,TR000028,3,Waypoint-3,30.293077,69.693337,864.1,Toll,43
LG0000034,TR000028,4,Waypoint-4,32.133836,70.551893,1152.2,Fuel Stop,38
LG0000035,TR000028,5,Waypoint-5,33.933754,71.561934,1440.2,Fuel Stop,5
LG0000036,TR000032,1,Waypoint-1,31.894979,73.150284,64.6,Toll,43
LG0000037,TR000032,2,Waypoint-2,32.411584,73.028027,129.2,Toll,11
LG0000038,TR000032,3,Waypoint-3,32.699054,73.128947,193.9,Waypoint,33
LG0000039,TR000032,4,Waypoint-4,33.237074,73.078364,258.5,Waypoint,41
LG0000040,TR000032,5,Waypoint-5,33.589867,73.041509,323.1,Toll,39
LG0000041,TR000034,1,Waypoint-1,32.152171,74.122962,77.3,Waypoint,12
LG0000042,TR000034,2,Waypoint-2,32.56886,74.000962,154.7,Waypoint,16
LG0000043,TR000034,3,Waypoint-3,33.074838,73.762402,232.0,Rest Stop,5
LG0000044,TR000034,4,Waypoint-4,33.640308,73.580926,309.4,Waypoint,37
LG0000045,TR000034,5,Waypoint-5,34.093088,73.332981,386.7,Fuel Stop,28
LG0000046,TR000036,1,Waypoint-1,32.242579,73.97603,129.7,Fuel Stop,22
LG0000047,TR000036,2,Waypoint-2,32.960932,73.464615,259.3,Waypoint,24
LG0000048,TR000036,3,Waypoint-3,33.716154,73.022209,389.0,Waypoint,40
LG0000049,TR000038,1,Waypoint-1,32.015096,73.783824,99.7,Rest Stop,5
LG0000050,TR000038,2,Waypoint-2,32.493991,73.215378,199.4,Toll,27
LG0000051,TR000038,3,Waypoint-3,33.055934,72.559065,299.2,Waypoint,9
LG0000052,TR000038,4,Waypoint-4,33.570854,72.030377,398.9,Toll,12
LG0000053,TR000038,5,Waypoint-5,34.086057,71.519321,498.6,Waypoint,29
LG0000054,TR000041,1,Waypoint-1,34.007847,73.148727,61.8,Toll,6
LG0000055,TR000041,2,Waypoint-2,34.161659,73.180836,123.6,Toll,26
LG0000056,TR000043,1,Waypoint-1,26.639995,68.145768,290.0,Toll,29
LG0000057,TR000043,2,Waypoint-2,28.297109,69.483046,580.0,Fuel Stop,32
LG0000058,TR000043,3,Waypoint-3,30.111344,70.697635,870.1,Toll,45
LG0000059,TR000043,4,Waypoint-4,31.991563,71.761889,1160.1,Rest Stop,42
LG0000060,TR000043,5,Waypoint-5,33.698759,73.077875,1450.1,Toll,13
LG0000061,TR000046,1,Waypoint-1,32.09804,74.047005,96.7,Rest Stop,8
LG0000062,TR000046,2,Waypoint-2,32.628175,73.734917,193.4,Toll,17
LG0000063,TR000046,3,Waypoint-3,33.144276,73.329486,290.1,Waypoint,22
LG0000064,TR000046,4,Waypoint-4,33.626937,73.109811,386.8,Rest Stop,20
LG0000065,TR000047,1,Waypoint-1,27.808585,68.963376,471.8,Rest Stop,26
LG0000066,TR000047,2,Waypoint-2,30.762815,71.00494,943.7,Fuel Stop,23
LG0000067,TR000047,3,Waypoint-3,33.742081,73.025725,1415.5,Waypoint,31
LG0000068,TR000051,1,Waypoint-1,27.057175,69.504121,427.4,Fuel Stop,45
LG0000069,TR000051,2,Waypoint-2,29.197135,71.901441,854.7,Waypoint,39
LG0000070,TR000051,3,Waypoint-3,31.496096,74.410682,1282.1,Fuel Stop,43
LG0000071,TR000054,1,Waypoint-1,26.511657,68.82416,304.7,Rest Stop,16
LG0000072,TR000054,2,Waypoint-2,28.216266,70.675122,609.4,Fuel Stop,21
LG0000073,TR000054,3,Waypoint-3,29.825291,72.567861,914.0,Toll,17
LG0000074,TR000054,4,Waypoint-4,31.495099,74.366369,1218.7,Waypoint,30
LG0000075,TR000055,1,Waypoint-1,32.218043,73.903124,127.4,Toll,7
LG0000076,TR000055,2,Waypoint-2,33.091698,73.563047,254.9,Toll,41
LG0000077,TR000055,3,Waypoint-3,33.663376,73.064394,382.3,Toll,6
LG0000078,TR000059,1,Waypoint-1,32.026031,71.50761,278.8,Fuel Stop,30
LG0000079,TR000059,2,Waypoint-2,33.986536,71.50936,557.6,Waypoint,31
LG0000080,TR000060,1,Waypoint-1,33.858702,72.014646,54.7,Fuel Stop,42
LG0000081,TR000060,2,Waypoint-2,33.75723,72.521007,109.5,Waypoint,7
LG0000082,TR000060,3,Waypoint-3,33.677707,73.058245,164.2,Waypoint,35
LG0000083,TR000064,1,Waypoint-1,29.303979,70.040538,713.3,Fuel Stop,11
LG0000084,TR000064,2,Waypoint-2,33.67009,72.988511,1426.6,Toll,15
LG0000085,TR000065,1,Waypoint-1,32.983347,73.383035,130.4,Rest Stop,32
LG0000086,TR000065,2,Waypoint-2,32.237124,73.840424,260.8,Rest Stop,15
LG0000087,TR000065,3,Waypoint-3,31.551182,74.42183,391.2,Fuel Stop,35
LG0000088,TR000068,1,Waypoint-1,31.520485,71.547397,341.9,Fuel Stop,35
LG0000089,TR000068,2,Waypoint-2,29.211467,69.95249,683.8,Waypoint,9
LG0000090,TR000068,3,Waypoint-3,27.055873,68.45827,1025.6,Waypoint,22
LG0000091,TR000068,4,Waypoint-4,24.746249,66.971124,1367.5,Waypoint,41
LG0000092,TR000070,1,Waypoint-1,33.429407,73.656975,96.7,Rest Stop,33
LG0000093,TR000070,2,Waypoint-2,32.780374,73.837247,193.3,Rest Stop,14
LG0000094,TR000070,3,Waypoint-3,32.162699,74.215074,290.0,Rest Stop,39
LG0000095,TR000070,4,Waypoint-4,31.561062,74.35152,386.7,Waypoint,20
LG0000096,TR000073,1,Waypoint-1,32.266691,73.900286,121.8,Waypoint,7
LG0000097,TR000073,2,Waypoint-2,32.95489,73.523326,243.6,Toll,12
LG0000098,TR000073,3,Waypoint-3,33.678011,72.944308,365.4,Toll,18
