trip_id,fleet_id,vehicle_id,driver_id,customer_id,booking_type,booking_datetime,pickup_datetime,dropoff_datetime,duration_days,pickup_city,dropoff_city,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,trip_fare_pkr,driver_allowance_pkr,with_driver,self_drive,status,cancellation_reason
TR000001,FL001,VH00102,DR0008,CU01068,City Ride,2022-11-09 08:56:00,2022-11-09 11:22:00,2022-11-10 09:41:12,0.93,Karachi,Karachi,24.875819,67.034686,24.857185,67.012525,67.4,16465.0,2314.0,True,False,Completed,
TR000002,FL003,VH00105,,CU00406,Airport Transfer,2026-05-25 19:36:00,2026-05-25 22:42:00,2026-05-26 06:37:12,0.33,Peshawar,Lahore,34.015337,71.525764,31.513083,74.375446,498.6,12453.0,0.0,False,True,Completed,
TR000003,FL001,VH00016,,CU01442,Airport Transfer,2026-01-12 09:37:00,2026-01-12 11:37:00,2026-01-12 20:15:24,0.36,Multan,Islamabad,30.17575,71.512027,33.660077,73.051591,543.0,11719.0,0.0,False,True,Completed,
TR000004,FL002,VH00010,,CU01789,City Ride,2023-11-07 16:34:00,2023-11-07 18:56:00,2023-11-08 10:46:24,0.66,Lahore,Karachi,31.509495,74.368306,24.849195,67.000085,1260.8,25602.0,0.0,False,True,Completed,
TR000005,FL001,VH00108,DR0056,CU00685,Airport Transfer,2022-12-01 23:32:00,2022-12-02 00:15:00,2022-12-02 12:00:36,0.49,Peshawar,Lahore,34.018754,71.52296,31.520285,74.356353,0.0,10512.0,567.0,True,False,Cancelled,Driver Unavailable
TR000006,FL002,VH00004,DR0033,CU00094,City Ride,2022-09-02 07:32:00,2022-09-02 09:06:00,2022-09-02 17:30:00,0.35,Islamabad,Islamabad,33.685664,73.04715,33.671312,73.025851,39.7,12574.0,1875.0,True,False,Completed,
TR000007,FL002,VH00015,DR0027,CU00136,Corporate,2024-04-22 13:13:00,2024-04-22 14:16:00,2024-04-25 10:25:36,2.84,Abbottabad,Abbottabad,34.149613,73.217269,34.145446,73.205364,37.7,40409.0,664.0,True,False,Completed,
TR000008,FL001,VH00051,DR0007,CU01456,Intercity,2024-08-14 17:44:00,2024-08-14 20:19:00,2024-08-17 03:45:24,2.31,Karachi,Gujranwala,24.863004,67.012308,32.184783,74.190133,1397.9,152971.0,1886.0,True,False,Completed,
TR000009,FL004,VH00086,DR0034,CU01697,Airport Transfer,2026-03-11 10:32:00,2026-03-11 11:23:00,2026-03-11 18:35:00,0.3,Karachi,Lahore,24.853621,67.006059,31.517072,74.351924,1172.3,22194.0,2905.0,True,False,Completed,
TR000010,FL002,VH00080,DR0019,CU01196,City Ride,2023-08-22 11:08:00,2023-08-22 12:56:00,2023-08-23 11:15:12,0.93,Islamabad,Islamabad,33.688637,73.033768,33.688158,73.053871,27.6,15562.0,2858.0,True,False,Completed,
TR000011,FL001,VH00112,DR0055,CU01924,Wedding,2024-05-24 10:14:00,2024-05-24 13:58:00,2024-05-26 02:41:12,1.53,Multan,Karachi,30.17526,71.545153,24.878609,67.015146,960.3,30141.0,1640.0,True,False,Completed,
TR000012,FL001,VH00089,DR0051,CU00032,Airport Transfer,2022-10-04 17:18:00,2022-10-04 19:21:00,2022-10-05 04:28:12,0.38,Abbottabad,Islamabad,34.123495,73.218908,33.687217,73.037153,122.3,10825.0,1277.0,True,False,Completed,
TR000013,FL001,VH00034,DR0060,CU00771,City Ride,2022-06-23 09:18:00,2022-06-23 11:46:00,2022-06-24 07:41:12,0.83,Karachi,Karachi,24.85357,66.986384,24.849906,67.007551,52.9,3713.0,1707.0,True,False,In Progress,
TR000014,FL003,VH00083,DR0054,CU01025,Event,2024-10-26 21:32:00,2024-10-26 23:55:00,2024-10-28 16:43:00,1.7,Multan,Multan,30.160047,71.522416,30.169489,71.543344,68.9,23281.0,902.0,True,False,Completed,
TR000015,FL001,VH00036,,CU01412,City Ride,2022-03-17 12:18:00,2022-03-17 16:16:00,2022-03-18 03:32:48,0.47,Lahore,Lahore,31.534759,74.341021,31.508438,74.356638,18.7,1962.0,0.0,False,True,Completed,
TR000016,FL001,VH00091,DR0003,CU01992,City Ride,2025-04-09 08:53:00,2025-04-09 12:49:00,2025-04-10 10:53:48,0.92,Murree,Faisalabad,33.922177,73.403043,31.462017,73.126668,356.6,12894.0,1025.0,True,False,Completed,
TR000017,FL003,VH00104,,CU01340,Airport Transfer,2023-11-03 22:19:00,2023-11-04 00:37:00,2023-11-04 09:15:24,0.36,Gujranwala,Lahore,32.183467,74.204121,31.527716,74.365897,70.4,4104.0,0.0,False,True,Completed,
TR000018,FL003,VH00020,DR0051,CU00175,Corporate,2024-12-22 17:36:00,2024-12-22 21:14:00,2024-12-25 18:06:48,2.87,Lahore,Lahore,31.509555,74.383032,31.516151,74.361727,24.7,18778.0,2408.0,True,False,No Show,
TR000019,FL002,VH00042,,CU00375,Tourism / Northern Areas,2024-08-02 14:17:00,2024-08-02 17:35:00,2024-08-09 19:01:24,7.06,Peshawar,Peshawar,34.013143,71.527673,34.01914,71.539225,35.9,174073.0,0.0,False,True,Completed,
TR000020,FL002,VH00066,DR0036,CU01467,City Ride,2024-12-21 08:33:00,2024-12-21 12:29:00,2024-12-21 20:09:48,0.32,Karachi,Islamabad,24.865138,66.983045,33.692416,73.042958,0.0,4370.0,2553.0,True,False,Cancelled,Driver Unavailable
TR000021,FL001,VH00052,DR0042,CU00503,Airport Transfer,2025-09-16 13:16:00,2025-09-16 16:10:00,2025-09-17 03:12:24,0.46,Islamabad,Islamabad,33.674704,73.055904,33.695968,73.059601,0.0,2671.0,1921.0,True,False,Cancelled,Weather
TR000022,FL003,VH00075,DR0047,CU01773,Intercity,2024-05-26 08:29:00,2024-05-26 12:27:00,2024-05-29 02:07:48,2.57,Islamabad,Karachi,33.664985,73.051884,24.860131,67.028684,1366.2,42579.0,2715.0,True,False,Completed,
TR000023,FL002,VH00094,DR0016,CU00255,Wedding,2023-06-13 21:23:00,2023-06-13 22:19:00,2023-06-16 17:16:36,2.79,Karachi,Karachi,24.868578,67.0083,24.871231,66.991588,36.0,23227.0,2123.0,True,False,Completed,
TR000024,FL001,VH00036,DR0058,CU00628,Monthly Contract,2022-04-26 18:37:00,2022-04-26 22:12:00,2022-05-28 21:57:36,31.99,Karachi,Karachi,24.858669,66.986578,24.870711,67.013795,53.6,77637.0,2607.0,True,False,Completed,
TR000025,FL002,VH00080,,CU00808,Airport Transfer,2023-07-28 07:43:00,2023-07-28 09:07:00,2023-07-28 11:45:24,0.11,Nathiagali,Islamabad,34.06383,73.360193,33.700027,73.051958,0.0,922.0,0.0,False,True,Cancelled,Weather
TR000026,FL001,VH00003,DR0011,CU01449,Airport Transfer,2024-05-04 06:35:00,2024-05-04 07:36:00,2024-05-04 14:48:00,0.3,Nathiagali,Islamabad,34.058043,73.376175,33.69061,73.025556,74.8,6706.0,2125.0,True,False,Completed,
