maint_id,vehicle_id,fleet_id,maintenance_type,maintenance_date,odometer_km,workshop,parts_cost_pkr,labour_cost_pkr,total_cost_pkr,currency,status,next_due_km,next_due_date,technician_name,remarks
MN00001,VH00089,FL001,AC Service,2026-06-17,239698,Bilal Tyre & Battery,1827.0,3590.0,5417.0,PKR,In Progress,254698,2027-05-31,Tech-20,Replaced as per schedule
MN00002,VH00100,FL002,Engine Tune-Up,2025-08-21,193330,National Auto Parts & Repair,3279.0,4407.0,7686.0,PKR,Warranty Claim,213330,2026-06-27,Tech-4,Urgent – advised immediate action
MN00003,VH00104,FL003,Battery Replace,2024-06-23,85137,City Motors Rawalpindi,5110.0,8919.0,14029.0,PKR,Scheduled,135137,2024-11-22,Tech-17,Minor wear observed
MN00004,VH00029,FL004,Periodic Inspection,2024-01-22,112170,City Motors Rawalpindi,1002.0,929.0,1931.0,PKR,In Progress,117170,2025-01-16,Tech-11,Replaced as per schedule
MN00005,VH00015,FL002,Glass Replace,2024-11-06,253296,Official Toyota Service Center Islamabad,15047.0,11813.0,26860.0,PKR,Completed,303296,2025-10-08,Tech-4,Customer-reported issue resolved
MN00006,VH00022,FL002,Tyre Replacement,2022-11-04,169600,Premier Auto Care Karachi,14365.0,9937.0,24302.0,PKR,Completed,209600,2023-07-07,Tech-5,Customer-reported issue resolved
MN00007,VH00091,FL001,Engine Tune-Up,2024-06-09,172047,Fast Lube Islamabad,4912.0,3997.0,8909.0,PKR,Completed,192047,2024-09-24,Tech-6,Urgent – advised immediate action
MN00008,VH00026,FL003,Tyre Replacement,2025-07-16,182964,Bilal Tyre & Battery,5980.0,9378.0,15358.0,PKR,Completed,222964,2025-10-30,Tech-13,Warranty covered – no cost to fleet
MN00009,VH00049,FL001,Engine Tune-Up,2026-05-25,222761,Official Toyota Service Center Islamabad,3659.0,4582.0,8241.0,PKR,In Progress,242761,2026-10-30,Tech-8,Customer-reported issue resolved
MN00010,VH00113,FL004,Periodic Inspection,2025-12-04,110566,National Auto Parts & Repair,834.0,1374.0,2208.0,PKR,Completed,115566,2026-08-04,Tech-9,
MN00011,VH00108,FL001,Oil Change,2023-12-20,196040,Pak Euro Motors,1418.0,2620.0,4038.0,PKR,Completed,201040,2024-09-11,Tech-9,Urgent – advised immediate action
MN00012,VH00099,FL001,Suspension Repair,2026-05-12,44717,Al-Hamd Auto Workshop,8385.0,8652.0,17037.0,PKR,Completed,104717,2027-05-03,Tech-16,Minor wear observed
MN00013,VH00015,FL002,Transmission Service,2025-03-26,232588,City Motors Rawalpindi,3707.0,5334.0,9041.0,PKR,Completed,262588,2026-02-01,Tech-17,
MN00014,VH00055,FL003,Tyre Replacement,2022-09-04,183307,City Motors Rawalpindi,8970.0,9444.0,18414.0,PKR,Completed,223307,2023-07-04,Tech-4,Minor wear observed
MN00015,VH00074,FL002,AC Service,2024-04-20,161827,Official Toyota Service Center Islamabad,1812.0,3651.0,5463.0,PKR,Completed,176827,2024-07-20,Tech-8,Urgent – advised immediate action
MN00016,VH00041,FL001,Suspension Repair,2026-01-18,96607,Bilal Tyre & Battery,11976.0,8343.0,20319.0,PKR,Completed,156607,2026-10-21,Tech-17,Replaced as per schedule
MN00017,VH00071,FL002,Periodic Inspection,2024-04-25,219011,National Auto Parts & Repair,844.0,1258.0,2102.0,PKR,Completed,224011,2024-07-31,Tech-6,Urgent – advised immediate action
MN00018,VH00077,FL001,Suspension Repair,2024-12-29,129155,National Auto Parts & Repair,6422.0,9704.0,16126.0,PKR,In Progress,189155,2025-05-04,Tech-10,
MN00019,VH00109,FL003,Glass Replace,2025-02-20,183697,Al-Hamd Auto Workshop,7272.0,11617.0,18889.0,PKR,In Progress,233697,2025-07-08,Tech-11,Urgent – advised immediate action
MN00020,VH00073,FL001,Engine Tune-Up,2026-02-19,160186,Official Toyota Service Center Islamabad,3488.0,4113.0,7601.0,PKR,Completed,180186,2027-02-01,Tech-2,Replaced as per schedule
MN00021,VH00065,FL001,Suspension Repair,2025-05-03,53675,Honda Authorized Workshop Lahore,6943.0,11759.0,18702.0,PKR,Completed,113675,2026-03-13,Tech-20,Replaced as per schedule
MN00022,VH00075,FL003,Glass Replace,2022-04-21,87251,Premier Auto Care Karachi,8276.0,12428.0,20704.0,PKR,In Progress,137251,2022-08-08,Tech-13,Replaced as per schedule
MN00023,VH00004,FL002,Accident Repair,2022-11-28,176602,Workshop In-House (Fleet Mechanic),38730.0,28439.0,67169.0,PKR,Completed,226602,2023-06-14,Tech-19,Customer-reported issue resolved
MN00024,VH00114,FL003,Suspension Repair,2023-12-12,156746,Workshop In-House (Fleet Mechanic),4944.0,9497.0,14441.0,PKR,In Progress,216746,2024-09-25,Tech-1,Urgent – advised immediate action
MN00025,VH00032,FL001,Accident Repair,2024-04-23,156773,Pak Euro Motors,48659.0,41590.0,90249.0,PKR,Completed,206773,2024-08-01,Tech-2,Replaced as per schedule
MN00026,VH00014,FL004,AC Service,2023-03-09,70944,Premier Auto Care Karachi,2620.0,3277.0,5897.0,PKR,Completed,85944,2024-02-13,Tech-5,
MN00027,VH00089,FL001,Body Repair / Dent,2022-04-17,189155,Al-Hamd Auto Workshop,14256.0,19915.0,34171.0,PKR,Completed,239155,2022-12-12,Tech-16,
MN00028,VH00026,FL003,Tyre Rotation,2024-12-03,210631,Al-Hamd Auto Workshop,305.0,541.0,846.0,PKR,Completed,220631,2025-11-03,Tech-20,Minor wear observed
MN00029,VH00020,FL003,Battery Replace,2025-06-11,72764,Bilal Tyre & Battery,6793.0,6919.0,13712.0,PKR,Completed,122764,2025-11-15,Tech-15,
MN00030,VH00012,FL001,Battery Replace,2025-11-08,55978,Official Toyota Service Center Islamabad,3820.0,5030.0,8850.0,PKR,Completed,105978,2026-07-18,Tech-4,Customer-reported issue resolved
MN00031,VH00113,FL004,Tyre Rotation,2026-01-10,120928,City Motors Rawalpindi,561.0,883.0,1444.0,PKR,Completed,130928,2026-07-02,Tech-7,
MN00032,VH00028,FL003,Periodic Inspection,2023-08-10,83682,Workshop In-House (Fleet Mechanic),998.0,1212.0,2210.0,PKR,Completed,88682,2024-01-18,Tech-3,Minor wear observed
MN00033,VH00086,FL004,Suspension Repair,2022-08-25,82758,Premier Auto Care Karachi,6229.0,6914.0,13143.0,PKR,Completed,142758,2023-02-08,Tech-15,Customer-reported issue resolved
