payment_id,invoice_id,booking_id,customer_id,payment_date,amount_pkr,payment_type,payment_method,reference_no,notes
PAY0000001,INV000001,BK000001,CU01068,2022-11-10,18779.0,Full,Bank Transfer,REF00000001,
PAY0000002,INV000002,BK000002,CU00406,2026-05-26,3540.0,Advance,Card (POS),REF00000002,Advance 20%
PAY0000003,INV000002,BK000002,CU00406,2026-06-02,14158.0,Final,Card (POS),REF00000003,Final settlement
PAY0000004,INV000003,BK000003,CU01442,2026-01-12,7860.0,Advance,Cash,REF00000004,Advance 50%
PAY0000005,INV000003,BK000003,CU01442,2026-01-19,7859.0,Final,Cash,REF00000005,Final settlement
PAY0000006,INV000004,BK000004,CU01789,2023-11-08,5120.0,Advance,JazzCash,REF00000006,Advance 20%
PAY0000007,INV000004,BK000004,CU01789,2023-11-15,12472.0,Final,JazzCash,REF00000007,Final settlement
PAY0000008,INV000005,BK000005,CU00685,2022-12-02,22130.0,Full,JazzCash,REF00000008,
PAY0000009,INV000006,BK000006,CU00094,2022-09-02,14449.0,Full,Cash,REF00000009,
PAY0000010,INV000007,BK000007,CU00136,2024-04-25,21786.0,Advance,Cash,REF00000010,Advance 50%
PAY0000011,INV000007,BK000007,CU00136,2024-05-02,21787.0,Final,Cash,REF00000011,Final settlement
PAY0000012,INV000008,BK000008,CU01456,2024-08-17,78178.0,Advance,Cash,REF00000012,Advance 50%
PAY0000013,INV000008,BK000008,CU01456,2024-08-24,78179.0,Final,Cash,REF00000013,Final settlement
PAY0000014,INV000009,BK000009,CU01697,2026-03-11,30599.0,Full,JazzCash,REF00000014,
PAY0000015,INV000010,BK000010,CU01196,2023-08-23,19920.0,Full,Cash,REF00000015,
PAY0000016,INV000011,BK000011,CU01924,2024-05-26,35781.0,Full,EasyPaisa,REF00000016,
PAY0000017,INV000012,BK000012,CU00032,2022-10-05,12762.0,Partial,JazzCash,REF00000017,
PAY0000018,INV000013,BK000013,CU00771,2022-06-23,5420.0,Full,Cash,REF00000018,
PAY0000019,INV000014,BK000014,CU01025,2024-10-28,5302.0,Advance,Bank Transfer,REF00000019,Advance 20%
PAY0000020,INV000014,BK000014,CU01025,2024-11-04,21209.0,Final,Bank Transfer,REF00000020,Final settlement
PAY0000021,INV000015,BK000015,CU01412,2022-03-18,792.0,Advance,Cash,REF00000021,Advance 20%
PAY0000022,INV000015,BK000015,CU01412,2022-03-25,3170.0,Final,Cash,REF00000022,Final settlement
PAY0000023,INV000016,BK000016,CU01992,2025-04-10,16419.0,Full,EasyPaisa,REF00000023,
PAY0000024,INV000017,BK000017,CU01340,2023-11-04,5007.0,Advance,Cash,REF00000024,Advance 50%
PAY0000025,INV000017,BK000017,CU01340,2023-11-11,5007.0,Final,Cash,REF00000025,Final settlement
PAY0000026,INV000018,BK000019,CU00375,2024-08-09,88036.0,Advance,EasyPaisa,REF00000026,Advance 50%
PAY0000027,INV000018,BK000019,CU00375,2024-08-16,88037.0,Final,EasyPaisa,REF00000027,Final settlement
