rate_id,fleet_id,vehicle_type_id,daily_rate_pkr,hourly_rate_pkr,km_rate_pkr,outstation_mult,night_surcharge_pct,airport_surcharge_pkr,security_deposit_pkr,min_hours,cancellation_fee_pct,fuel_included,driver_included,effective_from,effective_to,booking_type_id,booking_type_name
RC000001,FL001,VT001,3764.0,400,12,1.2,10,4000,10000,4,15,False,False,2022-01-01,2026-12-31,BT002,City Ride
RC000002,FL001,VT001,4594.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT001,Airport Transfer
RC000003,FL001,VT001,4779.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT005,Intercity
RC000004,FL001,VT001,5271.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT008,Wedding
RC000005,FL001,VT001,4097.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT003,Corporate
RC000006,FL001,VT001,5008.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT007,Tourism / Northern Areas
RC000007,FL001,VT001,3156.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT006,Monthly Contract
RC000008,FL001,VT001,4513.0,400,12,1.2,10,4000,10000,4,15,False,True,2022-01-01,2026-12-31,BT004,Event
RC000009,FL001,VT002,5075.0,500,14,1.2,10,4000,15000,4,15,False,False,2022-01-01,2026-12-31,BT002,City Ride
RC000010,FL001,VT002,5039.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT001,Airport Transfer
RC000011,FL001,VT002,6444.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT005,Intercity
RC000012,FL001,VT002,6549.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT008,Wedding
RC000013,FL001,VT002,5768.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT003,Corporate
RC000014,FL001,VT002,6182.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT007,Tourism / Northern Areas
RC000015,FL001,VT002,4106.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT006,Monthly Contract
RC000016,FL001,VT002,6314.0,500,14,1.2,10,4000,15000,4,15,False,True,2022-01-01,2026-12-31,BT004,Event
RC000017,FL001,VT003,7148.0,700,18,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31,BT002,City Ride
RC000018,FL001,VT003,8441.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT001,Airport Transfer
RC000019,FL001,VT003,8477.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT005,Intercity
RC000020,FL001,VT003,7855.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT008,Wedding
RC000021,FL001,VT003,6929.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT003,Corporate
RC000022,FL001,VT003,9624.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT007,Tourism / Northern Areas
RC000023,FL001,VT003,6706.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT006,Monthly Contract
RC000024,FL001,VT003,10376.0,700,18,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT004,Event
RC000025,FL001,VT004,6212.0,650,17,1.2,10,4000,20000,4,15,False,False,2022-01-01,2026-12-31,BT002,City Ride
RC000026,FL001,VT004,8315.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT001,Airport Transfer
RC000027,FL001,VT004,8728.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT005,Intercity
RC000028,FL001,VT004,9176.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT008,Wedding
RC000029,FL001,VT004,6914.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT003,Corporate
RC000030,FL001,VT004,8930.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT007,Tourism / Northern Areas
RC000031,FL001,VT004,5604.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT006,Monthly Contract
RC000032,FL001,VT004,9437.0,650,17,1.2,10,4000,20000,4,15,False,True,2022-01-01,2026-12-31,BT004,Event
RC000033,FL001,VT005,9067.0,1000,22,1.2,10,4000,30000,4,15,False,False,2022-01-01,2026-12-31,BT002,City Ride
