attr_id,vehicle_id,attr_name,attr_value
VA00001,VH00001,engine_cc,1300
VA00002,VH00001,abs,True
VA00003,VH00001,airbags,4
VA00004,VH00001,central_locking,True
VA00005,VH00001,reverse_camera,True
VA00006,VH00001,sunroof,False
VA00007,VH00001,push_start,False
VA00008,VH00001,heated_seats,False
VA00009,VH00001,leather_interior,True
VA00010,VH00001,infotainment,Android
VA00011,VH00001,child_seat_avail,True
VA00012,VH00002,engine_cc,1000
VA00013,VH00002,abs,True
VA00014,VH00002,airbags,6
VA00015,VH00002,central_locking,True
VA00016,VH00002,reverse_camera,True
VA00017,VH00002,sunroof,False
VA00018,VH00002,push_start,True
VA00019,VH00002,heated_seats,False
VA00020,VH00002,leather_interior,False
VA00021,VH00002,infotainment,None
VA00022,VH00002,child_seat_avail,False
VA00023,VH00003,engine_cc,1600
VA00024,VH00003,abs,True
VA00025,VH00003,airbags,6
VA00026,VH00003,central_locking,True
VA00027,VH00003,reverse_camera,False
VA00028,VH00003,sunroof,False
VA00029,VH00003,push_start,True
VA00030,VH00003,heated_seats,False
VA00031,VH00003,leather_interior,False
VA00032,VH00003,infotainment,Android
VA00033,VH00003,child_seat_avail,False
VA00034,VH00004,engine_cc,660
VA00035,VH00004,abs,True
VA00036,VH00004,airbags,0
VA00037,VH00004,central_locking,True
VA00038,VH00004,reverse_camera,True
VA00039,VH00004,sunroof,False
VA00040,VH00004,push_start,False
VA00041,VH00004,heated_seats,True
VA00042,VH00004,leather_interior,False
VA00043,VH00004,infotainment,Apple CarPlay
VA00044,VH00004,child_seat_avail,True
VA00045,VH00005,engine_cc,1500
VA00046,VH00005,abs,True
VA00047,VH00005,airbags,2
VA00048,VH00005,central_locking,True
VA00049,VH00005,reverse_camera,False
VA00050,VH00005,sunroof,True
VA00051,VH00005,push_start,True
VA00052,VH00005,heated_seats,True
VA00053,VH00005,leather_interior,False
VA00054,VH00005,infotainment,Basic
VA00055,VH00005,child_seat_avail,True
VA00056,VH00006,engine_cc,1600
VA00057,VH00006,abs,True
VA00058,VH00006,airbags,2
VA00059,VH00006,central_locking,True
VA00060,VH00006,reverse_camera,True
VA00061,VH00006,sunroof,False
VA00062,VH00006,push_start,True
VA00063,VH00006,heated_seats,True
VA00064,VH00006,leather_interior,True
VA00065,VH00006,infotainment,Android
VA00066,VH00006,child_seat_avail,True
VA00067,VH00007,engine_cc,1000
VA00068,VH00007,abs,True
VA00069,VH00007,airbags,4
VA00070,VH00007,central_locking,True
VA00071,VH00007,reverse_camera,True
VA00072,VH00007,sunroof,True
VA00073,VH00007,push_start,True
VA00074,VH00007,heated_seats,True
VA00075,VH00007,leather_interior,True
VA00076,VH00007,infotainment,Apple CarPlay
VA00077,VH00007,child_seat_avail,False
VA00078,VH00008,engine_cc,2700
VA00079,VH00008,abs,True
VA00080,VH00008,airbags,6
VA00081,VH00008,central_locking,True
VA00082,VH00008,reverse_camera,True
VA00083,VH00008,sunroof,False
VA00084,VH00008,push_start,False
VA00085,VH00008,heated_seats,False
VA00086,VH00008,leather_interior,False
VA00087,VH00008,infotainment,None
VA00088,VH00008,child_seat_avail,True
VA00089,VH00009,engine_cc,1500
VA00090,VH00009,abs,True
VA00091,VH00009,airbags,4
VA00092,VH00009,central_locking,True
VA00093,VH00009,reverse_camera,True
VA00094,VH00009,sunroof,False
VA00095,VH00009,push_start,True
VA00096,VH00009,heated_seats,False
VA00097,VH00009,leather_interior,False
VA00098,VH00009,infotainment,None
VA00099,VH00009,child_seat_avail,True
VA00100,VH00010,engine_cc,1200
VA00101,VH00010,abs,True
VA00102,VH00010,airbags,0
VA00103,VH00010,central_locking,True
VA00104,VH00010,reverse_camera,True
VA00105,VH00010,sunroof,False
VA00106,VH00010,push_start,True
VA00107,VH00010,heated_seats,False
VA00108,VH00010,leather_interior,False
VA00109,VH00010,infotainment,Android
VA00110,VH00010,child_seat_avail,False
VA00111,VH00011,engine_cc,1600
VA00112,VH00011,abs,True
VA00113,VH00011,airbags,2
VA00114,VH00011,central_locking,True
VA00115,VH00011,reverse_camera,True
VA00116,VH00011,sunroof,False
VA00117,VH00011,push_start,False
VA00118,VH00011,heated_seats,False
VA00119,VH00011,leather_interior,True
VA00120,VH00011,infotainment,Android
VA00121,VH00011,child_seat_avail,False
VA00122,VH00012,engine_cc,1300
VA00123,VH00012,abs,True
VA00124,VH00012,airbags,0
VA00125,VH00012,central_locking,True
VA00126,VH00012,reverse_camera,True
VA00127,VH00012,sunroof,False
VA00128,VH00012,push_start,True
VA00129,VH00012,heated_seats,False
VA00130,VH00012,leather_interior,True
VA00131,VH00012,infotainment,Basic
VA00132,VH00012,child_seat_avail,False
VA00133,VH00013,engine_cc,1600
VA00134,VH00013,abs,False
VA00135,VH00013,airbags,4
VA00136,VH00013,central_locking,True
VA00137,VH00013,reverse_camera,False
VA00138,VH00013,sunroof,True
VA00139,VH00013,push_start,False
VA00140,VH00013,heated_seats,False
VA00141,VH00013,leather_interior,True
VA00142,VH00013,infotainment,Apple CarPlay
VA00143,VH00013,child_seat_avail,True
VA00144,VH00014,engine_cc,2000
VA00145,VH00014,abs,True
VA00146,VH00014,airbags,2
VA00147,VH00014,central_locking,True
VA00148,VH00014,reverse_camera,True
VA00149,VH00014,sunroof,False
VA00150,VH00014,push_start,True
VA00151,VH00014,heated_seats,False
VA00152,VH00014,leather_interior,False
VA00153,VH00014,infotainment,Android
VA00154,VH00014,child_seat_avail,False
VA00155,VH00015,engine_cc,2700
VA00156,VH00015,abs,True
VA00157,VH00015,airbags,0
VA00158,VH00015,central_locking,True
VA00159,VH00015,reverse_camera,False
VA00160,VH00015,sunroof,False
VA00161,VH00015,push_start,False
VA00162,VH00015,heated_seats,False
VA00163,VH00015,leather_interior,False
VA00164,VH00015,infotainment,Basic
VA00165,VH00015,child_seat_avail,False
VA00166,VH00016,engine_cc,3000
VA00167,VH00016,abs,True
VA00168,VH00016,airbags,6
VA00169,VH00016,central_locking,False
VA00170,VH00016,reverse_camera,False
VA00171,VH00016,sunroof,False
VA00172,VH00016,push_start,True
VA00173,VH00016,heated_seats,False
VA00174,VH00016,leather_interior,False
VA00175,VH00016,infotainment,Apple CarPlay
VA00176,VH00016,child_seat_avail,False
VA00177,VH00017,engine_cc,4000
VA00178,VH00017,abs,False
VA00179,VH00017,airbags,0
VA00180,VH00017,central_locking,True
VA00181,VH00017,reverse_camera,False
VA00182,VH00017,sunroof,False
VA00183,VH00017,push_start,True
VA00184,VH00017,heated_seats,False
VA00185,VH00017,leather_interior,False
VA00186,VH00017,infotainment,Apple CarPlay
VA00187,VH00017,child_seat_avail,False
VA00188,VH00018,engine_cc,1200
VA00189,VH00018,abs,True
VA00190,VH00018,airbags,6
VA00191,VH00018,central_locking,True
VA00192,VH00018,reverse_camera,True
VA00193,VH00018,sunroof,False
VA00194,VH00018,push_start,False
VA00195,VH00018,heated_seats,False
VA00196,VH00018,leather_interior,False
VA00197,VH00018,infotainment,Apple CarPlay
VA00198,VH00018,child_seat_avail,False
VA00199,VH00019,engine_cc,1600
VA00200,VH00019,abs,True
VA00201,VH00019,airbags,0
VA00202,VH00019,central_locking,True
VA00203,VH00019,reverse_camera,True
VA00204,VH00019,sunroof,False
VA00205,VH00019,push_start,False
VA00206,VH00019,heated_seats,False
VA00207,VH00019,leather_interior,False
VA00208,VH00019,infotainment,Apple CarPlay
VA00209,VH00019,child_seat_avail,False
VA00210,VH00020,engine_cc,2000
VA00211,VH00020,abs,False
VA00212,VH00020,airbags,6
VA00213,VH00020,central_locking,True
VA00214,VH00020,reverse_camera,True
VA00215,VH00020,sunroof,False
VA00216,VH00020,push_start,False
VA00217,VH00020,heated_seats,False
VA00218,VH00020,leather_interior,False
VA00219,VH00020,infotainment,Apple CarPlay
VA00220,VH00020,child_seat_avail,False
VA00221,VH00021,engine_cc,4000
VA00222,VH00021,abs,False
VA00223,VH00021,airbags,4
VA00224,VH00021,central_locking,True
VA00225,VH00021,reverse_camera,True
VA00226,VH00021,sunroof,True
VA00227,VH00021,push_start,True
VA00228,VH00021,heated_seats,False
VA00229,VH00021,leather_interior,False
VA00230,VH00021,infotainment,Basic
VA00231,VH00021,child_seat_avail,False
VA00232,VH00022,engine_cc,1300
VA00233,VH00022,abs,True
VA00234,VH00022,airbags,2
VA00235,VH00022,central_locking,True
VA00236,VH00022,reverse_camera,False
VA00237,VH00022,sunroof,False
VA00238,VH00022,push_start,False
VA00239,VH00022,heated_seats,False
VA00240,VH00022,leather_interior,False
VA00241,VH00022,infotainment,None
VA00242,VH00022,child_seat_avail,False
VA00243,VH00023,engine_cc,1500
VA00244,VH00023,abs,False
VA00245,VH00023,airbags,6
VA00246,VH00023,central_locking,True
VA00247,VH00023,reverse_camera,True
VA00248,VH00023,sunroof,False
VA00249,VH00023,push_start,False
VA00250,VH00023,heated_seats,False
VA00251,VH00023,leather_interior,True
VA00252,VH00023,infotainment,Android
VA00253,VH00023,child_seat_avail,True
VA00254,VH00024,engine_cc,3000
VA00255,VH00024,abs,True
VA00256,VH00024,airbags,0
VA00257,VH00024,central_locking,True
VA00258,VH00024,reverse_camera,False
VA00259,VH00024,sunroof,False
VA00260,VH00024,push_start,True
VA00261,VH00024,heated_seats,False
VA00262,VH00024,leather_interior,True
VA00263,VH00024,infotainment,Apple CarPlay
VA00264,VH00024,child_seat_avail,True
VA00265,VH00025,engine_cc,1500
VA00266,VH00025,abs,True
VA00267,VH00025,airbags,6
VA00268,VH00025,central_locking,True
VA00269,VH00025,reverse_camera,True
VA00270,VH00025,sunroof,False
VA00271,VH00025,push_start,False
VA00272,VH00025,heated_seats,False
VA00273,VH00025,leather_interior,True
VA00274,VH00025,infotainment,Basic
VA00275,VH00025,child_seat_avail,False
VA00276,VH00026,engine_cc,2000
VA00277,VH00026,abs,True
VA00278,VH00026,airbags,4
VA00279,VH00026,central_locking,True
VA00280,VH00026,reverse_camera,True
VA00281,VH00026,sunroof,False
VA00282,VH00026,push_start,True
VA00283,VH00026,heated_seats,True
VA00284,VH00026,leather_interior,True
VA00285,VH00026,infotainment,None
VA00286,VH00026,child_seat_avail,False
VA00287,VH00027,engine_cc,1200
VA00288,VH00027,abs,True
VA00289,VH00027,airbags,0
VA00290,VH00027,central_locking,True
VA00291,VH00027,reverse_camera,True
VA00292,VH00027,sunroof,False
VA00293,VH00027,push_start,False
VA00294,VH00027,heated_seats,False
VA00295,VH00027,leather_interior,True
VA00296,VH00027,infotainment,Basic
VA00297,VH00027,child_seat_avail,False
VA00298,VH00028,engine_cc,1500
VA00299,VH00028,abs,False
VA00300,VH00028,airbags,6
VA00301,VH00028,central_locking,True
VA00302,VH00028,reverse_camera,True
VA00303,VH00028,sunroof,False
VA00304,VH00028,push_start,True
VA00305,VH00028,heated_seats,False
VA00306,VH00028,leather_interior,False
VA00307,VH00028,infotainment,Android
VA00308,VH00028,child_seat_avail,False
VA00309,VH00029,engine_cc,2700
VA00310,VH00029,abs,True
VA00311,VH00029,airbags,6
VA00312,VH00029,central_locking,True
VA00313,VH00029,reverse_camera,True
VA00314,VH00029,sunroof,False
VA00315,VH00029,push_start,False
VA00316,VH00029,heated_seats,True
VA00317,VH00029,leather_interior,False
VA00318,VH00029,infotainment,Android
VA00319,VH00029,child_seat_avail,False
VA00320,VH00030,engine_cc,1200
VA00321,VH00030,abs,True
VA00322,VH00030,airbags,0
VA00323,VH00030,central_locking,True
VA00324,VH00030,reverse_camera,False
VA00325,VH00030,sunroof,False
VA00326,VH00030,push_start,True
VA00327,VH00030,heated_seats,True
VA00328,VH00030,leather_interior,False
VA00329,VH00030,infotainment,Basic
VA00330,VH00030,child_seat_avail,True
VA00331,VH00031,engine_cc,2000
VA00332,VH00031,abs,True
VA00333,VH00031,airbags,6
VA00334,VH00031,central_locking,True
VA00335,VH00031,reverse_camera,True
VA00336,VH00031,sunroof,False
VA00337,VH00031,push_start,True
VA00338,VH00031,heated_seats,False
VA00339,VH00031,leather_interior,False
VA00340,VH00031,infotainment,Android
VA00341,VH00031,child_seat_avail,False
VA00342,VH00032,engine_cc,1200
VA00343,VH00032,abs,True
VA00344,VH00032,airbags,0
VA00345,VH00032,central_locking,True
VA00346,VH00032,reverse_camera,True
VA00347,VH00032,sunroof,False
VA00348,VH00032,push_start,False
VA00349,VH00032,heated_seats,True
VA00350,VH00032,leather_interior,True
VA00351,VH00032,infotainment,Apple CarPlay
VA00352,VH00032,child_seat_avail,True
VA00353,VH00033,engine_cc,3000
VA00354,VH00033,abs,True
VA00355,VH00033,airbags,6
VA00356,VH00033,central_locking,True
VA00357,VH00033,reverse_camera,True
VA00358,VH00033,sunroof,False
VA00359,VH00033,push_start,False
VA00360,VH00033,heated_seats,False
VA00361,VH00033,leather_interior,False
VA00362,VH00033,infotainment,Android
VA00363,VH00033,child_seat_avail,True
VA00364,VH00034,engine_cc,3000
VA00365,VH00034,abs,True
VA00366,VH00034,airbags,2
VA00367,VH00034,central_locking,False
VA00368,VH00034,reverse_camera,False
VA00369,VH00034,sunroof,False
VA00370,VH00034,push_start,False
VA00371,VH00034,heated_seats,False
VA00372,VH00034,leather_interior,True
VA00373,VH00034,infotainment,Android
VA00374,VH00034,child_seat_avail,False
VA00375,VH00035,engine_cc,1600
VA00376,VH00035,abs,True
VA00377,VH00035,airbags,2
VA00378,VH00035,central_locking,True
VA00379,VH00035,reverse_camera,True
VA00380,VH00035,sunroof,False
VA00381,VH00035,push_start,False
VA00382,VH00035,heated_seats,False
VA00383,VH00035,leather_interior,False
VA00384,VH00035,infotainment,Basic
VA00385,VH00035,child_seat_avail,False
VA00386,VH00036,engine_cc,3000
VA00387,VH00036,abs,True
VA00388,VH00036,airbags,0
VA00389,VH00036,central_locking,True
VA00390,VH00036,reverse_camera,False
VA00391,VH00036,sunroof,False
VA00392,VH00036,push_start,True
VA00393,VH00036,heated_seats,False
VA00394,VH00036,leather_interior,False
VA00395,VH00036,infotainment,None
VA00396,VH00036,child_seat_avail,False
VA00397,VH00037,engine_cc,3000
VA00398,VH00037,abs,False
VA00399,VH00037,airbags,6
VA00400,VH00037,central_locking,False
VA00401,VH00037,reverse_camera,True
VA00402,VH00037,sunroof,False
VA00403,VH00037,push_start,False
VA00404,VH00037,heated_seats,True
VA00405,VH00037,leather_interior,False
VA00406,VH00037,infotainment,Basic
VA00407,VH00037,child_seat_avail,False
VA00408,VH00038,engine_cc,660
VA00409,VH00038,abs,True
VA00410,VH00038,airbags,4
VA00411,VH00038,central_locking,True
VA00412,VH00038,reverse_camera,True
VA00413,VH00038,sunroof,False
VA00414,VH00038,push_start,False
VA00415,VH00038,heated_seats,False
VA00416,VH00038,leather_interior,False
VA00417,VH00038,infotainment,None
VA00418,VH00038,child_seat_avail,False
VA00419,VH00039,engine_cc,1500
VA00420,VH00039,abs,True
VA00421,VH00039,airbags,4
VA00422,VH00039,central_locking,True
VA00423,VH00039,reverse_camera,True
VA00424,VH00039,sunroof,False
VA00425,VH00039,push_start,True
VA00426,VH00039,heated_seats,False
VA00427,VH00039,leather_interior,False
VA00428,VH00039,infotainment,Apple CarPlay
VA00429,VH00039,child_seat_avail,True
VA00430,VH00040,engine_cc,2000
VA00431,VH00040,abs,True
VA00432,VH00040,airbags,6
VA00433,VH00040,central_locking,True
VA00434,VH00040,reverse_camera,True
VA00435,VH00040,sunroof,False
VA00436,VH00040,push_start,True
VA00437,VH00040,heated_seats,True
VA00438,VH00040,leather_interior,False
VA00439,VH00040,infotainment,Apple CarPlay
VA00440,VH00040,child_seat_avail,False
VA00441,VH00041,engine_cc,1600
VA00442,VH00041,abs,True
VA00443,VH00041,airbags,0
VA00444,VH00041,central_locking,True
VA00445,VH00041,reverse_camera,True
VA00446,VH00041,sunroof,True
VA00447,VH00041,push_start,True
VA00448,VH00041,heated_seats,False
VA00449,VH00041,leather_interior,False
VA00450,VH00041,infotainment,Apple CarPlay
VA00451,VH00041,child_seat_avail,False
VA00452,VH00042,engine_cc,1000
VA00453,VH00042,abs,True
VA00454,VH00042,airbags,2
VA00455,VH00042,central_locking,False
VA00456,VH00042,reverse_camera,True
VA00457,VH00042,sunroof,False
VA00458,VH00042,push_start,False
VA00459,VH00042,heated_seats,False
VA00460,VH00042,leather_interior,True
VA00461,VH00042,infotainment,Basic
VA00462,VH00042,child_seat_avail,False
VA00463,VH00043,engine_cc,1500
VA00464,VH00043,abs,True
