vehicle_id,fleet_id,vehicle_type_id,make,model,year,registration_no,color,fuel_type,transmission,seats,odometer_km,purchase_date,daily_rate_pkr,hourly_rate_pkr,km_rate_pkr,insurance_expiry,fitness_cert_expiry,status,condition_rating,gps_enabled,telematics_enabled,ac_working
VH00001,FL002,VT001,Suzuki,Alto VXR,2022,ISB-FTS-9035,Dark Blue,Petrol,Manual,5,120604,2022-02-19,3547,400,12,2023-02-19,2026-10-01,Available,Excellent,True,False,True
VH00002,FL002,VT012,Toyota,Land Cruiser ZX LC300,2023,ISB-VTN-6301,Silver,Diesel,Automatic,8,86854,2023-02-18,37441,3500,70,2026-02-18,2026-01-01,On Trip,Good,False,False,True
VH00003,FL001,VT008,MG,HS Essence,2021,PKR-KZR-9225,White,Petrol,Automatic,5,95008,2021-04-22,15371,1200,28,2022-04-22,2026-06-01,Available,Good,True,False,True
VH00004,FL002,VT013,Audi,Audi A5 Sportback,2021,ISB-ZDM-871,Red,Petrol,Automatic,5,174481,2021-02-05,29119,3000,60,2025-02-05,2026-07-01,On Trip,Good,True,True,True
VH00005,FL003,VT009,Toyota,Hilux Rocco,2020,ISB-XWH-8417,Dark Blue,Diesel,Automatic,5,50065,2020-10-07,17495,1800,35,2022-10-07,2026-01-01,Available,Good,True,True,True
VH00006,FL002,VT018,Toyota,Coaster HZB50 22-Seater,2017,ISB-NQZ-8935,Brown,Diesel,Manual,30,62730,2017-12-23,18564,1800,35,2021-12-23,2026-06-01,Retired,Good,True,True,True
VH00007,FL001,VT016,Suzuki,APV GL,2020,PKR-TXP-4081,Beige,Petrol,Manual,8,116708,2020-08-26,5380,600,15,2021-08-26,2026-07-01,On Trip,Good,False,True,True
VH00008,FL004,VT015,Land Rover,Range Rover Autobiography,2024,ISB-BZW-1628,White,Petrol,Automatic,5,116539,2024-04-06,136423,12000,200,2026-04-06,2026-03-01,Under Maintenance,Good,False,True,True
VH00009,FL002,VT017,Toyota,Hiace Grand Cabin,2020,ISB-ZBE-9849,White,Diesel,Manual,14,71657,2020-02-22,12422,1100,25,2022-02-22,2026-10-01,On Trip,Excellent,True,False,True
VH00010,FL002,VT004,Honda,City Aspire,2019,ISB-FGY-1227,Brown,Petrol,Automatic,5,84707,2019-04-12,6315,650,17,2022-04-12,2026-09-01,On Trip,Excellent,False,True,True
VH00011,FL001,VT002,Suzuki,Cultus VXL,2018,PKR-VBJ-2243,Silver,Petrol,Automatic,5,52357,2018-11-09,5611,500,14,2022-11-09,2026-02-01,On Trip,Needs Attention,True,True,True
VH00012,FL001,VT004,Honda,City Aspire,2023,PKR-XKQ-2632,White,Petrol,Automatic,5,52598,2023-04-28,7952,650,17,2025-04-28,2026-03-01,Reserved,Good,True,False,True
VH00013,FL003,VT013,Audi,Audi A6 3.0T,2021,ISB-WZG-8446,Graphite Grey,Petrol,Automatic,5,150565,2021-07-22,30318,3000,60,2022-07-22,2026-03-01,Available,Good,False,True,True
VH00014,FL004,VT018,Toyota,Coaster HZB50 30-Seater,2025,ISB-JBR-5509,Brown,Diesel,Manual,30,42669,2025-10-11,18598,1800,35,2028-10-11,2026-07-01,Available,Good,True,False,True
VH00015,FL002,VT007,Hyundai,Tucson 1.6T AWD,2024,ISB-VZT-1489,Midnight Black,Petrol,Automatic,5,175921,2024-05-17,13857,1200,28,2025-05-17,2026-11-01,Under Maintenance,Good,False,True,True
VH00016,FL001,VT004,Honda,City 1.2 MT,2024,PKR-EYN-922,Dark Blue,Petrol,Automatic,5,41813,2024-09-08,6912,650,17,2028-09-08,2026-10-01,On Trip,Good,False,True,True
VH00017,FL001,VT003,Toyota,Corolla XLI,2022,PKR-GHN-2367,Red,Petrol,Automatic,5,110410,2022-03-08,7775,700,18,2024-03-08,2026-06-01,Available,Good,True,True,True
VH00018,FL003,VT008,MG,HS 1.5T,2023,ISB-GMK-6724,Golden,Petrol,Automatic,5,132523,2023-12-06,15678,1200,28,2024-12-06,2026-10-01,Reserved,Good,True,True,True
