booking_id,trip_id,customer_id,fleet_id,vehicle_id,driver_id,booking_type_id,booking_datetime,pickup_city,dropoff_city,pickup_datetime_requested,duration_days_requested,with_driver,estimated_fare_pkr,advance_paid_pkr,payment_method,status,cancellation_reason,notes,created_at
BK000001,TR000001,CU01068,FL001,VH00102,DR0008,BT002,2022-11-09 08:56:00,Karachi,Karachi,2022-11-09 11:22:00,0.93,True,16465.0,3293.0,Card (POS),Completed,,,2022-11-09 08:56:00
BK000002,TR000002,CU00406,FL003,VH00105,,BT001,2026-05-25 19:36:00,Peshawar,Lahore,2026-05-25 22:42:00,0.33,False,12453.0,2491.0,EasyPaisa,Completed,,,2026-05-25 19:36:00
BK000003,TR000003,CU01442,FL001,VH00016,,BT001,2026-01-12 09:37:00,Multan,Islamabad,2026-01-12 11:37:00,0.36,False,11719.0,2344.0,Card (POS),Completed,,,2026-01-12 09:37:00
BK000004,TR000004,CU01789,FL002,VH00010,,BT002,2023-11-07 16:34:00,Lahore,Karachi,2023-11-07 18:56:00,0.66,False,25602.0,5120.0,Bank Transfer,Completed,,,2023-11-07 16:34:00
BK000005,TR000005,CU00685,FL001,VH00108,DR0056,BT001,2022-12-01 23:32:00,Peshawar,Lahore,2022-12-02 00:15:00,0.49,True,10512.0,0.0,Card (POS),Cancelled,Driver Unavailable,,2022-12-01 23:32:00
BK000006,TR000006,CU00094,FL002,VH00004,DR0033,BT002,2022-09-02 07:32:00,Islamabad,Islamabad,2022-09-02 09:06:00,0.35,True,12574.0,2515.0,Card (POS),Completed,,,2022-09-02 07:32:00
BK000007,TR000007,CU00136,FL002,VH00015,DR0027,BT003,2024-04-22 13:13:00,Abbottabad,Abbottabad,2024-04-22 14:16:00,2.84,True,40409.0,8082.0,EasyPaisa,Completed,,,2024-04-22 13:13:00
BK000008,TR000008,CU01456,FL001,VH00051,DR0007,BT005,2024-08-14 17:44:00,Karachi,Gujranwala,2024-08-14 20:19:00,2.31,True,152971.0,30594.0,JazzCash,Completed,,,2024-08-14 17:44:00
BK000009,TR000009,CU01697,FL004,VH00086,DR0034,BT001,2026-03-11 10:32:00,Karachi,Lahore,2026-03-11 11:23:00,0.3,True,22194.0,4439.0,Card (POS),Completed,,,2026-03-11 10:32:00
BK000010,TR000010,CU01196,FL002,VH00080,DR0019,BT002,2023-08-22 11:08:00,Islamabad,Islamabad,2023-08-22 12:56:00,0.93,True,15562.0,3112.0,Bank Transfer,Completed,,,2023-08-22 11:08:00
